date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2018-06-18,togiak,24,24,1,9,66,6,98,0,0,170,
2018-06-19,togiak,24,24,4,21,252,60,472,0,0,784,
2018-06-20,togiak,24,24,1,9,75,20,287,0,0,382,
2018-06-25,togiak,24,24,9,22,646,106,778,0,1,1531,
2018-06-26,togiak,24,24,9,19,413,129,1249,1,0,1792,
2018-06-27,togiak,24,24,3,15,750,38,361,0,0,1149,
2018-06-28,togiak,24,24,4,2,129,11,1362,1,0,1503,
2018-06-29,togiak,24,24,1,5,320,18,986,2,0,1326,
2018-07-02,togiak,24,24,32,69,8561,235,3856,8,0,12660,
2018-07-03,togiak,24,24,48,99,11396,239,6045,35,0,17715,
2018-07-04,togiak,24,24,43,105,9778,247,6140,31,0,16196,
2018-07-05,togiak,24,24,48,89,5833,289,8047,21,0,14190,
2018-07-06,togiak,24,24,31,79,8298,203,5993,39,0,14533,
2018-07-07,togiak,24,24,12,41,5019,67,2341,7,0,7434,
2018-07-09,togiak,24,24,32,63,8607,126,2346,23,1,11103,
2018-07-10,togiak,24,24,52,96,15611,189,4958,23,0,20781,
2018-07-11,togiak,24,24,35,107,16326,128,3942,28,0,20424,
2018-07-12,togiak,24,24,58,117,27672,211,6479,30,0,34392,
2018-07-13,togiak,24,24,20,82,16830,64,2235,21,0,19150,
2018-07-14,togiak,24,24,20,92,19502,85,3883,29,0,23499,
2018-07-16,togiak,24,24,45,122,23286,99,10098,76,0,33559,
2018-07-17,togiak,24,24,73,174,36245,138,14731,123,2,51239,
2018-07-18,togiak,24,24,73,148,33075,111,13407,151,0,46744,
2018-07-19,togiak,24,24,74,144,33080,113,8136,212,1,41542,
2018-07-20,togiak,24,24,58,111,23971,79,9444,185,1,33680,
2018-07-21,togiak,24,24,41,107,29105,39,4245,151,0,33540,
2018-07-22,togiak,24,24,6,23,5300,4,369,31,0,5704,
2018-07-23,togiak,24,24,30,82,17052,27,3412,327,6,20824,
2018-07-24,togiak,24,24,69,121,32763,60,6585,983,6,40397,
2018-07-25,togiak,24,24,59,109,30408,52,6210,1998,4,38672,
2018-07-26,togiak,24,24,56,111,29349,36,3428,1506,6,34325,
2018-07-27,togiak,24,24,37,93,28896,46,1809,1962,13,32726,
2018-07-28,togiak,24,24,32,61,23479,20,1565,2197,7,27268,
2018-07-29,togiak,24,24,6,16,5852,5,132,334,1,6324,
2018-07-30,togiak,24,24,31,79,22149,11,1320,2777,16,26273,
2018-07-31,togiak,24,24,43,124,41303,23,2241,7576,57,51200,
2018-08-01,togiak,24,24,46,133,35578,21,1655,5799,82,43135,
2018-08-02,togiak,24,24,45,139,43112,21,1525,8105,226,52989,
2018-08-03,togiak,24,24,42,130,37983,17,1620,8886,245,48751,
2018-08-04,togiak,24,24,37,107,33664,10,1072,6157,370,41273,
2018-08-05,togiak,24,24,12,28,9734,6,195,1586,88,11609,
2018-08-06,togiak,24,24,21,60,14555,4,530,2693,657,18439,
2018-08-07,togiak,24,24,46,101,26760,7,725,4656,1137,33285,
2018-08-08,togiak,24,24,33,110,26414,4,602,3614,1211,31845,
2018-08-09,togiak,24,24,29,78,20134,3,418,2160,1732,24447,
2018-08-10,togiak,24,24,25,65,16041,6,324,1621,1972,19964,
2018-08-11,togiak,24,24,4,38,5054,1,111,422,831,6419,
2018-08-14,togiak,24,24,4,26,2234,3,30,127,564,2958,
2018-08-15,togiak,24,24,7,66,8152,2,107,395,1699,10355,
2018-08-16,togiak,24,24,10,42,5260,5,109,258,1659,7291,
2018-08-17,togiak,24,24,4,29,2792,0,86,200,1509,4587,
2018-08-18,togiak,24,24,0,5,612,0,8,11,269,900,
2018-08-19,togiak,24,24,1,2,293,0,0,0,187,480,
2018-08-20,togiak,24,24,5,17,588,0,14,7,1787,2396,
2018-08-21,togiak,24,24,6,32,1636,0,28,48,2446,4158,
2018-08-22,togiak,24,24,6,30,1286,4,23,52,3143,4508,
2018-08-23,togiak,24,24,5,32,1180,3,34,21,4481,5719,
2018-08-24,togiak,24,24,1,9,294,1,7,1,994,1297,
2018-08-27,togiak,24,24,3,15,534,1,12,6,2023,2576,
2018-08-28,togiak,24,24,2,21,527,0,3,4,1948,2482,
2018-08-29,togiak,24,24,4,29,511,0,13,19,3507,4050,
2018-08-30,togiak,24,24,1,16,273,1,1,4,1817,2096,
2018-08-31,togiak,24,24,0,5,219,0,0,3,765,987,
2018-09-03,togiak,24,24,0,6,61,0,0,0,535,596,
2018-09-04,togiak,24,24,2,16,165,0,5,0,2203,2373,
2018-09-05,togiak,24,24,0,8,96,0,1,0,927,1024,
2018-09-06,togiak,24,24,2,11,191,0,1,0,1977,2169,
