date,districtKey,driftPermits,dualPermits,driftBoats,flags,notes
2018-06-01,naknek_kvichak,0,0,0,,
2018-06-01,egegik,0,0,0,,
2018-06-01,ugashik,0,0,0,,
2018-06-01,nushagak,0,0,0,,
2018-06-01,togiak,0,0,0,,
2018-06-02,naknek_kvichak,1,0,1,,
2018-06-02,egegik,7,0,7,,
2018-06-02,ugashik,0,0,0,,
2018-06-02,nushagak,7,2,5,,
2018-06-02,togiak,1,0,1,,
2018-06-03,naknek_kvichak,1,0,1,,
2018-06-03,egegik,7,0,7,,
2018-06-03,ugashik,0,0,0,,
2018-06-03,nushagak,7,2,5,,
2018-06-03,togiak,1,0,1,,
2018-06-04,naknek_kvichak,1,0,1,,
2018-06-04,egegik,7,0,7,,
2018-06-04,ugashik,0,0,0,,
2018-06-04,nushagak,7,2,5,,
2018-06-04,togiak,1,0,1,,
2018-06-05,naknek_kvichak,1,0,1,,
2018-06-05,egegik,8,0,8,,
2018-06-05,ugashik,0,0,0,,
2018-06-05,nushagak,7,2,5,,
2018-06-05,togiak,2,0,2,,
2018-06-06,naknek_kvichak,2,0,2,,
2018-06-06,egegik,8,0,8,,
2018-06-06,ugashik,0,0,0,,
2018-06-06,nushagak,8,2,6,,
2018-06-06,togiak,6,0,6,,
2018-06-07,naknek_kvichak,2,0,2,,
2018-06-07,egegik,10,0,10,,
2018-06-07,ugashik,0,0,0,,
2018-06-07,nushagak,10,2,8,,
2018-06-07,togiak,7,0,7,,
2018-06-08,naknek_kvichak,4,2,2,,
2018-06-08,egegik,11,0,11,,
2018-06-08,ugashik,0,0,0,,
2018-06-08,nushagak,11,2,9,,
2018-06-08,togiak,7,0,7,,
2018-06-09,naknek_kvichak,2,0,2,,
2018-06-09,egegik,18,4,14,,
2018-06-09,ugashik,0,0,0,,
2018-06-09,nushagak,16,4,12,,
2018-06-09,togiak,7,0,7,,
2018-06-10,naknek_kvichak,4,2,2,,
2018-06-10,egegik,22,6,16,,
2018-06-10,ugashik,0,0,0,,
2018-06-10,nushagak,16,4,12,,
2018-06-10,togiak,7,0,7,,
2018-06-11,naknek_kvichak,4,2,2,,
2018-06-11,egegik,26,8,18,,
2018-06-11,ugashik,1,0,1,,
2018-06-11,nushagak,16,4,12,,
2018-06-11,togiak,7,0,7,,
2018-06-12,naknek_kvichak,8,2,6,,
2018-06-12,egegik,53,20,33,,
2018-06-12,ugashik,11,8,3,,
2018-06-12,nushagak,27,4,23,,
2018-06-12,togiak,9,0,9,,
2018-06-13,naknek_kvichak,8,2,6,,
2018-06-13,egegik,61,24,37,,
2018-06-13,ugashik,11,8,3,,
2018-06-13,nushagak,33,6,27,,
2018-06-13,togiak,9,0,9,,
2018-06-14,naknek_kvichak,7,0,7,,
2018-06-14,egegik,92,28,64,,
2018-06-14,ugashik,10,6,4,,
2018-06-14,nushagak,37,6,31,,
2018-06-14,togiak,11,0,11,,
2018-06-15,naknek_kvichak,13,2,11,,
2018-06-15,egegik,105,32,73,,
2018-06-15,ugashik,7,4,3,,
2018-06-15,nushagak,48,8,40,,
2018-06-15,togiak,11,0,11,,
2018-06-16,naknek_kvichak,12,0,12,,
2018-06-16,egegik,108,32,76,,
2018-06-16,ugashik,6,2,4,,
2018-06-16,nushagak,70,18,52,,
2018-06-16,togiak,11,0,11,,
2018-06-17,naknek_kvichak,11,0,11,,
2018-06-17,egegik,112,36,76,,
2018-06-17,ugashik,6,2,4,,
2018-06-17,nushagak,76,20,56,,
2018-06-17,togiak,11,0,11,,
2018-06-18,naknek_kvichak,17,0,17,,
2018-06-18,egegik,123,44,79,,
2018-06-18,ugashik,6,2,4,,
2018-06-18,nushagak,99,30,69,,
2018-06-18,togiak,11,0,11,,
2018-06-19,naknek_kvichak,23,0,23,,
2018-06-19,egegik,183,80,103,,
2018-06-19,ugashik,4,0,4,,
2018-06-19,nushagak,152,56,96,,
2018-06-19,togiak,13,0,13,,
2018-06-20,naknek_kvichak,22,0,22,,
2018-06-20,egegik,194,82,112,,
2018-06-20,ugashik,4,0,4,,
2018-06-20,nushagak,436,216,220,,
2018-06-20,togiak,13,0,13,,
2018-06-21,naknek_kvichak,32,4,28,,
2018-06-21,egegik,209,88,121,,
2018-06-21,ugashik,6,0,6,,
2018-06-21,nushagak,648,342,306,,
2018-06-21,togiak,13,0,13,,
2018-06-22,naknek_kvichak,39,6,33,,
2018-06-22,egegik,245,102,143,,
2018-06-22,ugashik,6,0,6,,
2018-06-22,nushagak,817,442,375,,
2018-06-22,togiak,14,0,14,,
2018-06-23,naknek_kvichak,40,6,34,,
2018-06-23,egegik,255,98,157,,
2018-06-23,ugashik,20,8,12,,
2018-06-23,nushagak,881,460,421,,
2018-06-23,togiak,19,0,19,,
2018-06-24,naknek_kvichak,43,8,35,,
2018-06-24,egegik,261,100,161,,
2018-06-24,ugashik,23,8,15,,
2018-06-24,nushagak,960,510,450,,
2018-06-24,togiak,20,0,20,,
2018-06-25,naknek_kvichak,44,8,36,,
2018-06-25,egegik,286,100,186,,
2018-06-25,ugashik,21,8,13,,
2018-06-25,nushagak,994,524,470,,
2018-06-25,togiak,22,0,22,,
2018-06-26,naknek_kvichak,83,14,69,,
2018-06-26,egegik,328,122,206,,
2018-06-26,ugashik,21,8,13,,
2018-06-26,nushagak,1034,538,496,,
2018-06-26,togiak,27,0,27,,
2018-06-27,naknek_kvichak,104,24,80,,
2018-06-27,egegik,336,122,214,,
2018-06-27,ugashik,25,10,15,,
2018-06-27,nushagak,1053,548,505,,
2018-06-27,togiak,27,0,27,,
2018-06-28,naknek_kvichak,117,28,89,,
2018-06-28,egegik,331,118,213,,
2018-06-28,ugashik,31,12,19,,
2018-06-28,nushagak,1052,542,510,,
2018-06-28,togiak,27,0,27,,
2018-06-29,naknek_kvichak,133,30,103,,
2018-06-29,egegik,337,118,219,,
2018-06-29,ugashik,38,18,20,,
2018-06-29,nushagak,1032,532,500,,
2018-06-29,togiak,27,0,27,,
2018-06-30,naknek_kvichak,144,32,112,,
2018-06-30,egegik,359,134,225,,
2018-06-30,ugashik,54,22,32,,
2018-06-30,nushagak,1022,524,498,,
2018-06-30,togiak,28,0,28,,
2018-07-01,naknek_kvichak,152,30,122,,
2018-07-01,egegik,378,140,238,,
2018-07-01,ugashik,63,26,37,,
2018-07-01,nushagak,1020,520,500,,
2018-07-01,togiak,28,0,28,,
2018-07-02,naknek_kvichak,170,36,134,,
2018-07-02,egegik,371,136,235,,
2018-07-02,ugashik,70,30,40,,
2018-07-02,nushagak,1003,514,489,,
2018-07-02,togiak,28,0,28,,
2018-07-03,naknek_kvichak,180,38,142,,
2018-07-03,egegik,378,144,234,,
2018-07-03,ugashik,79,36,43,,
2018-07-03,nushagak,967,492,475,,
2018-07-03,togiak,32,0,32,,
2018-07-04,naknek_kvichak,191,38,153,,
2018-07-04,egegik,371,142,229,,
2018-07-04,ugashik,99,42,57,,
2018-07-04,nushagak,928,482,446,,
2018-07-04,togiak,34,0,34,,
2018-07-05,naknek_kvichak,215,48,167,,
2018-07-05,egegik,318,114,204,,
2018-07-05,ugashik,118,54,64,,
2018-07-05,nushagak,913,470,443,,
2018-07-05,togiak,36,0,36,,
2018-07-06,naknek_kvichak,254,58,196,,
2018-07-06,egegik,313,112,201,,
2018-07-06,ugashik,128,58,70,,
2018-07-06,nushagak,894,464,430,,
2018-07-06,togiak,36,0,36,,
2018-07-07,naknek_kvichak,304,88,216,,
2018-07-07,egegik,308,112,196,,
2018-07-07,ugashik,131,60,71,,
2018-07-07,nushagak,905,476,429,,
2018-07-07,togiak,36,0,36,,
2018-07-08,naknek_kvichak,310,86,224,,
2018-07-08,egegik,292,106,186,,
2018-07-08,ugashik,132,62,70,,
2018-07-08,nushagak,908,476,432,,
2018-07-08,togiak,37,0,37,,
2018-07-09,naknek_kvichak,314,86,228,,
2018-07-09,egegik,279,102,177,,
2018-07-09,ugashik,127,58,69,,
2018-07-09,nushagak,915,476,439,,
2018-07-09,togiak,37,0,37,,
2018-07-10,naknek_kvichak,318,86,232,,
2018-07-10,egegik,252,84,168,,
2018-07-10,ugashik,122,58,64,,
2018-07-10,nushagak,943,490,453,,
2018-07-10,togiak,38,0,38,,
2018-07-11,naknek_kvichak,326,90,236,,
2018-07-11,egegik,257,88,169,,
2018-07-11,ugashik,122,60,62,,
2018-07-11,nushagak,950,490,460,,
2018-07-11,togiak,38,0,38,,
2018-07-12,naknek_kvichak,326,90,236,,
2018-07-12,egegik,260,90,170,,
2018-07-12,ugashik,121,60,61,,
2018-07-12,nushagak,977,504,473,,
2018-07-12,togiak,38,0,38,,
2018-07-13,naknek_kvichak,324,88,236,,
2018-07-13,egegik,260,90,170,,
2018-07-13,ugashik,122,60,62,,
2018-07-13,nushagak,953,488,465,,
2018-07-13,togiak,38,0,38,,
2018-07-14,naknek_kvichak,330,92,238,,
2018-07-14,egegik,257,90,167,,
2018-07-14,ugashik,121,60,61,,
2018-07-14,nushagak,883,434,449,,
2018-07-14,togiak,38,0,38,,
2018-07-15,naknek_kvichak,345,100,245,,
2018-07-15,egegik,259,94,165,,
