date,districtKey,nushagakHoursRaw,igushikHoursRaw,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,flags,notes
2018-06-19,nushagak,0/6,0/15,0,6,160,0,21425,332,1995,1,0,23753,,
2018-06-20,nushagak,5/18.25,5/18.25,5,18.25,306,204,91497,2315,45257,0,0,139069,,
2018-06-21,nushagak,5/18,5/18,5,18,442,263,68419,2767,34903,4,0,106093,,
2018-06-22,nushagak,4.5/17.5,4.5/17.5,4.5,17.5,515,218,55175,2542,26812,21,0,84550,,
2018-06-23,nushagak,5/17.75,5/17.75,5,17.75,617,234,526232,2621,45725,3,0,574581,,
2018-06-24,nushagak,8.5/17,8.5/17,8.5,17,963,473,574531,5869,51601,20,0,632021,,
2018-06-25,nushagak,16/24,16/24,16,24,1341,486,891733,4054,72941,11,0,968739,,
2018-06-26,nushagak,24/24,24/24,24,24,814,285,827573,1949,59881,0,0,889403,,
2018-06-27,nushagak,22.5/24,22.5/24,22.5,24,931,456,592527,1643,52248,0,0,646418,,
2018-06-28,nushagak,16.5/24,16.5/24,16.5,24,1050,458,288916,1201,13203,0,0,303320,,
2018-06-29,nushagak,15/24,15/24,15,24,1220,393,570451,1303,25793,3,0,597550,,
2018-06-30,nushagak,16/24,16/24,16,24,1236,399,1637306,1185,49922,0,0,1688413,,
2018-07-01,nushagak,16.5/24,16.5/24,16.5,24,1289,702,1464607,1405,51450,1,0,1517463,,
2018-07-02,nushagak,16.5/24,16.5/24,16.5,24,1382,584,1175650,1007,35943,7,0,1212607,,
2018-07-03,nushagak,16.5/24,16.5/24,16.5,24,1216,539,851120,887,30063,14,0,882084,,
2018-07-04,nushagak,17.5/24,17.5/24,17.5,24,1094,529,856971,760,35554,8,0,893293,,
2018-07-05,nushagak,17.5/24,17.5/24,17.5,24,1167,539,943611,727,41710,0,0,986048,,
2018-07-06,nushagak,18/24,18/24,18,24,1022,512,962650,592,33045,735,3,997025,,
2018-07-07,nushagak,17.5/24,17.5/24,17.5,24,914,405,820219,356,35441,7,0,856023,,
2018-07-08,nushagak,21.5/24,21.5/24,21.5,24,832,469,1093402,274,30746,5,3,1124430,,
