date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2018-06-23,ugashik,12,12,14,30,3199,103,210,0,0,3512,
2018-06-24,ugashik,0,12,0,36,2242,53,0,0,0,2295,
2018-06-26,ugashik,12,12,14,39,11037,91,785,0,0,11913,
2018-06-27,ugashik,12,12,28,36,14363,189,1087,0,0,15639,
2018-06-28,ugashik,12,12,42,39,43383,214,1081,0,0,44678,
2018-06-29,ugashik,6,11,46,58,56978,93,821,0,0,57892,
2018-07-01,ugashik,8,11,54,72,44387,82,408,0,0,44877,
2018-07-02,ugashik,11,11,59,55,45342,95,896,0,0,46333,
2018-07-03,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-04,ugashik,9,9,130,169,124033,150,2028,0,0,126211,
2018-07-05,ugashik,4,12,97,84,35260,64,345,0,0,35669,
2018-07-06,ugashik,4,0,90,0,10731,22,202,0,0,10955,
2018-07-07,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-08,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-09,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-10,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-11,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-12,ugashik,0,0,0,0,0,0,0,0,0,0,
2018-07-13,ugashik,10,9,97,93,183355,25,2402,0,0,185782,
2018-07-14,ugashik,6,9,88,98,95645,15,637,0,0,96297,
2018-07-15,ugashik,12,12,113,114,210332,34,2281,0,0,212647,
2018-07-16,ugashik,12,12,168,91,258967,22,2797,0,0,261786,
2018-07-17,ugashik,24,24,133,88,186812,18,2357,0,0,189187,
2018-07-18,ugashik,24,24,209,99,246922,9,3219,0,0,250150,
2018-07-19,ugashik,24,24,151,65,232204,6,3448,0,0,235658,
2018-07-20,ugashik,24,24,169,65,159056,6,7949,0,0,167011,
2018-07-21,ugashik,24,24,155,52,141517,10,3618,0,552,145697,
2018-07-22,ugashik,24,24,126,44,125275,11,4516,0,0,129802,
2018-07-23,ugashik,24,24,136,35,109895,3,4848,3,22,114771,
2018-07-24,ugashik,24,24,170,26,127007,13,5890,73,223,133206,
2018-07-25,ugashik,24,24,151,20,92919,23,3952,62,43,96999,
2018-07-26,ugashik,24,24,107,15,55289,12,3221,42,219,58783,
2018-07-27,ugashik,24,24,57,16,36241,6,2534,15,77,38873,
2018-07-28,ugashik,24,24,45,28,47048,4,2990,34,88,50164,
2018-07-29,ugashik,24,24,38,12,29661,0,3466,53,59,33239,
2018-07-30,ugashik,24,24,34,10,24387,3,1858,36,140,26424,
2018-07-31,ugashik,24,24,20,5,11491,1,1641,23,95,13251,

