date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2017-06-13,togiak,24,24,0,3,58,1,42,0,0,101,
2017-06-14,togiak,24,24,1,3,71,1,43,0,0,115,
2017-06-15,togiak,24,24,0,4,74,1,43,0,0,118,
2017-06-16,togiak,24,24,0,3,69,0,20,1,0,90,
2017-06-17,togiak,0,0,0,0,0,0,0,0,0,0,
2017-06-18,togiak,0,0,0,0,0,0,0,0,0,0,
2017-06-19,togiak,24,24,4,14,400,17,280,0,0,697,
2017-06-20,togiak,24,24,5,39,1104,49,641,0,0,1794,
2017-06-21,togiak,24,24,6,21,1113,30,688,1,0,1832,
2017-06-22,togiak,24,24,2,4,454,5,955,0,0,1414,
2017-06-23,togiak,24,24,1,4,367,11,1017,3,0,1398,
2017-06-24,togiak,24,24,2,1,216,3,308,0,0,527,
2017-06-25,togiak,0,0,0,0,0,0,0,0,0,0,
2017-06-26,togiak,24,24,22,59,5725,155,2874,15,0,8769,
2017-06-27,togiak,24,24,32,94,8557,212,4339,28,0,13136,
2017-06-28,togiak,24,24,19,28,3151,37,2015,4,0,5207,
2017-06-29,togiak,24,24,5,8,1108,29,3033,8,0,4178,
2017-06-30,togiak,24,24,8,5,1255,27,3638,32,0,4952,
2017-07-01,togiak,24,24,49,87,6238,173,8111,115,0,14637,
2017-07-02,togiak,0,0,0,0,0,0,0,0,0,0,
2017-07-03,togiak,24,24,40,80,10401,132,5994,194,0,16721,
2017-07-04,togiak,24,24,68,156,23700,281,8891,390,0,33262,
2017-07-05,togiak,24,24,67,158,31729,352,13026,652,0,45759,
2017-07-06,togiak,24,24,42,122,18921,221,10099,408,0,29649,
2017-07-07,togiak,24,24,55,134,21724,230,11305,662,0,33921,
2017-07-08,togiak,24,24,35,91,14714,127,6733,503,0,22077,
2017-07-09,togiak,24,24,11,59,10196,61,2691,310,0,13258,
2017-07-10,togiak,24,24,36,118,17280,234,7516,617,0,25647,
2017-07-11,togiak,24,24,54,149,23120,246,10379,1267,0,35012,
2017-07-12,togiak,24,24,48,147,19917,308,10236,1145,0,31606,
2017-07-13,togiak,24,24,38,120,14898,195,9744,938,0,25775,
2017-07-14,togiak,24,24,51,135,21689,251,11689,1147,0,34776,
2017-07-15,togiak,24,24,59,104,24411,172,10138,1437,0,36158,
2017-07-16,togiak,0,0,0,0,0,0,0,0,0,0,
2017-07-17,togiak,24,24,36,78,12555,66,4255,763,1,17640,
2017-07-18,togiak,24,24,46,121,17009,113,5986,1180,0,24288,
2017-07-19,togiak,24,24,89,147,26602,194,10681,2463,0,39940,
2017-07-20,togiak,24,24,47,141,17227,132,6434,1693,0,25486,
2017-07-21,togiak,24,24,34,60,10843,78,2794,905,0,14620,
2017-07-22,togiak,0,0,0,0,0,0,0,0,0,0,
2017-07-23,togiak,0,0,0,0,0,0,0,0,0,0,
2017-07-24,togiak,24,24,38,115,17668,65,4989,1438,2,24162,
2017-07-25,togiak,24,24,64,152,25411,116,6995,1836,2,34360,
2017-07-26,togiak,24,24,42,135,15059,51,3299,924,2,19335,
2017-07-27,togiak,24,24,42,146,17623,96,3585,1288,2,22594,
2017-07-28,togiak,24,24,10,40,4990,27,1324,460,0,6801,
2017-07-29,togiak,24,24,1,1,132,1,45,16,0,194,
2017-07-30,togiak,0,0,0,0,0,0,0,0,0,0,
2017-07-31,togiak,24,24,34,80,8921,23,1740,703,10,11397,
2017-08-01,togiak,24,24,25,77,8426,23,1126,530,23,10128,
2017-08-02,togiak,24,24,23,58,8435,22,906,468,25,9856,
2017-08-03,togiak,24,24,11,29,4134,7,453,182,7,4783,
2017-08-04,togiak,24,24,0,7,951,0,29,8,0,988,
2017-08-05,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-06,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-07,togiak,24,24,11,41,2436,2,449,326,35,3248,
2017-08-08,togiak,24,24,32,76,8657,27,1075,526,151,10436,
2017-08-09,togiak,24,24,18,72,5747,8,530,305,207,6797,
2017-08-10,togiak,24,24,17,60,4930,5,373,151,208,5667,
2017-08-11,togiak,24,24,3,19,1697,0,62,30,58,1847,
2017-08-12,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-13,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-14,togiak,24,24,12,33,3103,0,175,83,853,4214,
2017-08-15,togiak,24,24,14,50,3791,3,174,81,1103,5152,
2017-08-16,togiak,24,24,4,40,1910,0,100,52,1072,3134,
2017-08-17,togiak,24,24,6,43,2061,3,108,131,1135,3438,
2017-08-18,togiak,24,24,5,9,1127,3,62,77,709,1978,
2017-08-19,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-20,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-21,togiak,24,24,5,8,81,2,22,34,1664,1803,
2017-08-22,togiak,24,24,11,35,469,0,81,128,4352,5030,
2017-08-23,togiak,24,24,13,42,612,2,72,65,5619,6370,
2017-08-24,togiak,24,24,5,35,426,2,32,30,3097,3587,
2017-08-25,togiak,24,24,0,9,27,0,7,2,327,363,
2017-08-26,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-27,togiak,0,0,0,0,0,0,0,0,0,0,
2017-08-28,togiak,24,24,14,32,125,0,21,17,6329,6492,
2017-08-29,togiak,24,24,14,45,224,1,24,16,9136,9401,
2017-08-30,togiak,24,24,10,33,133,1,11,3,3671,3819,
2017-08-31,togiak,24,24,3,28,57,1,9,0,3482,3549,
2017-09-01,togiak,24,24,1,7,27,7,0,3,672,709,
2017-09-02,togiak,0,0,0,0,0,0,0,0,0,0,
2017-09-03,togiak,0,0,0,0,0,0,0,0,0,0,
2017-09-04,togiak,24,24,0,11,24,0,1,0,1458,1483,
2017-09-05,togiak,24,24,5,22,80,0,0,2,4536,4618,
2017-09-06,togiak,24,24,5,18,76,1,1,1,3879,3958,
2017-09-07,togiak,24,24,0,10,22,0,0,0,676,698,
