date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2017-06-12,ugashik,15,15,6,0,0,0,0,0,0,0,
2017-06-13,ugashik,24,24,9,0,1868,1,21,0,0,1890,
2017-06-14,ugashik,24,24,13,0,1444,2,14,0,0,1460,
2017-06-15,ugashik,24,24,12,0,2506,2,45,0,0,2553,
2017-06-16,ugashik,9,9,5,0,0,0,0,0,0,0,
2017-06-22,ugashik,10,0,19,0,0,0,0,0,0,0,
2017-06-25,ugashik,5,10,123,28,133325,40,1783,0,0,135148,
2017-06-26,ugashik,0,2,122,13,0,0,0,0,0,135,
2017-06-27,ugashik,10,0,28,42,1243,0,0,0,0,1285,
2017-07-04,ugashik,5,12,175,109,194196,57,1677,0,0,195930,
2017-07-05,ugashik,7,12,137,77,65699,63,290,0,0,66052,
2017-07-06,ugashik,12,12,213,79,409554,93,3377,0,0,413024,
2017-07-07,ugashik,12,12,221,100,410294,54,3900,48,0,414296,
2017-07-08,ugashik,12,12,183,88,369794,47,3799,0,0,373640,
2017-07-09,ugashik,12,9,180,70,329827,33,7452,0,0,337312,
2017-07-10,ugashik,12,12,320,16,518840,38,16149,0,0,535027,
2017-07-11,ugashik,12,12,283,95,499085,92,4066,0,0,503243,
2017-07-12,ugashik,13,11,217,53,435516,78,4300,0,0,439894,
2017-07-13,ugashik,13,11,298,73,354196,81,3962,0,0,358239,
2017-07-14,ugashik,11,11,320,74,328969,57,3669,0,0,332695,
2017-07-15,ugashik,19,13.5,323,72,329374,57,4846,46,0,334323,
2017-07-16,ugashik,24,24,266,76,232982,54,3752,0,0,236788,
2017-07-17,ugashik,24,24,334,59,208517,22,2966,3,1,211509,
2017-07-18,ugashik,24,24,380,57,325601,77,5180,6,0,330864,
2017-07-19,ugashik,24,24,203,46,91633,31,2109,13,0,93786,
2017-07-20,ugashik,24,24,186,34,104676,43,2426,4,2,107151,
2017-07-21,ugashik,24,24,156,38,79043,34,1733,6,0,80816,
2017-07-22,ugashik,24,24,149,26,119607,11,2194,1405,0,123217,
2017-07-23,ugashik,24,24,110,37,55288,19,1769,0,0,57076,
2017-07-24,ugashik,24,24,92,21,37907,19,2786,7,1,40720,
2017-07-25,ugashik,24,24,60,14,30686,3,2472,0,2,33163,
2017-07-26,ugashik,24,24,40,0,14825,26,986,10,1,15848,
2017-07-27,ugashik,24,24,17,6,8997,1,146,0,0,9144,
2017-07-28,ugashik,24,24,9,1,2329,0,111,0,0,2440,
2017-07-29,ugashik,24,24,6,1,1989,0,79,0,0,2068,
2017-07-30,ugashik,24,24,3,1,1586,0,63,0,0,1649,
