date,riverKey,method,isOperational,dailyEscapement,cumulativeEscapement,flags,notes
2015-06-05,nushagak,sonar,true,28,28,,sonar_sockeye_only
2015-06-06,nushagak,sonar,true,68,96,,sonar_sockeye_only
2015-06-07,nushagak,sonar,true,5,101,,sonar_sockeye_only
2015-06-08,nushagak,sonar,true,115,216,,sonar_sockeye_only
2015-06-09,nushagak,sonar,true,195,411,,sonar_sockeye_only
2015-06-10,nushagak,sonar,true,643,1054,,sonar_sockeye_only
2015-06-11,egegik,tower,true,1254,1254,,eastside_page_47
2015-06-11,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-11,naknek,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-11,nushagak,sonar,true,512,1566,,sonar_sockeye_only
2015-06-11,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-12,egegik,tower,true,1392,2646,,eastside_page_47
2015-06-12,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-12,naknek,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-12,nushagak,sonar,true,959,2525,,sonar_sockeye_only
2015-06-12,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-13,egegik,tower,true,3216,5862,,eastside_page_47
2015-06-13,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-13,naknek,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-13,nushagak,sonar,true,3288,5813,,sonar_sockeye_only
2015-06-13,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_57
2015-06-13,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-13,wood,tower,true,540,540,,page_57
2015-06-14,egegik,tower,true,7272,13134,,eastside_page_47
2015-06-14,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-14,naknek,tower,true,468,468,,eastside_page_47
2015-06-14,nushagak,sonar,true,3128,8941,,sonar_sockeye_only
2015-06-14,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_57
2015-06-14,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-14,wood,tower,true,1428,1968,,page_57
2015-06-15,egegik,tower,true,5580,18714,,eastside_page_47
2015-06-15,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-15,naknek,tower,true,696,1164,,eastside_page_47
2015-06-15,nushagak,sonar,true,3541,12482,,sonar_sockeye_only
2015-06-15,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_57
2015-06-15,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-15,wood,tower,true,1026,2994,,page_57
2015-06-16,egegik,tower,true,6504,25218,,eastside_page_47
2015-06-16,kvichak,tower,true,90,90,,eastside_page_47
2015-06-16,naknek,tower,true,366,1530,,eastside_page_47
2015-06-16,nushagak,sonar,true,2979,15461,,sonar_sockeye_only
2015-06-16,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_57
2015-06-16,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-16,wood,tower,true,1092,4086,,page_57
2015-06-17,egegik,tower,true,14838,40056,,eastside_page_47
2015-06-17,kvichak,tower,true,186,276,,eastside_page_47
2015-06-17,naknek,tower,true,138,1668,,eastside_page_47
2015-06-17,nushagak,sonar,true,3556,19017,,sonar_sockeye_only
2015-06-17,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_57
2015-06-17,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_47
2015-06-17,wood,tower,true,2178,6264,,page_57
2015-06-18,egegik,tower,true,30252,70308,,eastside_page_47
2015-06-18,igushik,tower,true,282,282,,page_57
2015-06-18,kvichak,tower,true,60,336,,eastside_page_47
2015-06-18,naknek,tower,true,960,2628,,eastside_page_47
2015-06-18,nushagak,sonar,true,3902,22919,,sonar_sockeye_only
2015-06-18,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_57
