date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2015-06-20,ugashik,8,0,18,0,1638,0,0,0,0,1638,
2015-06-23,ugashik,0,9,46,10,10054,10,0,0,0,10064,
2015-06-25,ugashik,6,9,55,56,29790,8,687,0,0,30485,
2015-06-27,ugashik,7,9,72,66,76883,7,571,0,0,77461,
2015-06-28,ugashik,7,9,76,72,72365,11,527,0,0,72903,
2015-06-29,ugashik,8,9,82,69,93259,18,356,0,0,93633,
2015-06-30,ugashik,9,9,87,75,109493,8,645,0,0,110146,
2015-07-02,ugashik,6,9,105,0,120947,17,977,0,0,121941,
2015-07-03,ugashik,6,9,109,82,178908,4,1181,0,0,180093,
2015-07-04,ugashik,9,9,110,85,249309,5,1301,0,0,250615,
2015-07-05,ugashik,9,9,93,54,209589,4,2057,0,0,211650,
2015-07-06,ugashik,10,10,130,87,334342,9,3084,0,0,337435,
2015-07-07,ugashik,7,8,161,74,305112,9,3418,0,0,308539,
2015-07-08,ugashik,7,8,325,64,382737,2,4928,0,0,387667,
2015-07-09,ugashik,15,18.5,227,97,396501,6,5185,0,0,401692,
2015-07-10,ugashik,19,21.5,457,82,442924,13,4132,0,0,447069,
2015-07-11,ugashik,13,24,222,94,181176,3,1889,2,0,183070,
2015-07-12,ugashik,13,24,193,95,167557,5,1235,0,0,168797,
2015-07-13,ugashik,13,24,213,85,303817,0,2598,0,0,306415,
2015-07-14,ugashik,12,24,215,78,371792,5,2378,0,0,374175,
2015-07-15,ugashik,16,24,193,15,259068,2,3187,0,0,262257,
2015-07-16,ugashik,24,24,158,18,216411,0,2862,0,0,219273,
2015-07-17,ugashik,24,24,207,6,233777,1,4350,0,1,238129,
2015-07-18,ugashik,24,24,185,20,205034,5,4933,0,0,209972,
2015-07-19,ugashik,24,24,132,28,139834,2,2656,0,0,142492,
2015-07-20,ugashik,24,24,143,23,125202,0,2297,0,0,127499,
2015-07-21,ugashik,24,24,92,12,101622,1,1122,0,0,102745,
2015-07-22,ugashik,24,24,63,7,36611,0,1387,0,0,37998,
2015-07-23,ugashik,24,24,25,3,22181,1,855,0,0,23037,
2015-07-24,ugashik,24,24,31,2,27364,1,2522,0,0,29887,
2015-07-25,ugashik,24,24,13,0,10652,0,1485,0,0,12137,
2015-07-26,ugashik,24,24,11,3,10704,0,1485,0,0,12189,
2015-07-27,ugashik,24,24,12,1,10451,0,1450,0,0,11901,
2015-07-28,ugashik,24,24,16,2,13188,0,484,0,0,13672,
2015-07-29,ugashik,24,24,12,3,6522,1,750,0,0,7273,
2015-07-30,ugashik,24,24,18,2,7638,0,421,0,0,8059,
2015-07-31,ugashik,24,24,4,0,2247,0,105,0,0,2352,
2015-08-01,ugashik,24,24,4,8,2516,0,292,0,0,2808,
2015-08-02,ugashik,24,24,2,3,873,0,101,0,0,974,
