date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2015-06-15,togiak,24,24,0,5,34,7,0,0,0,41,
2015-06-16,togiak,24,24,0,8,42,16,6,0,0,64,
2015-06-17,togiak,24,24,2,9,30,10,14,0,0,54,
2015-06-18,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-19,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-20,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-21,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-22,togiak,24,24,6,36,582,76,135,3,0,796,
2015-06-23,togiak,24,24,7,32,407,101,182,1,0,691,
2015-06-24,togiak,24,24,2,39,429,67,172,0,0,668,
2015-06-25,togiak,24,24,1,23,305,45,118,0,0,468,
2015-06-26,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-27,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-28,togiak,0,0,0,0,0,0,0,0,0,0,
2015-06-29,togiak,24,24,23,44,1954,124,962,1,0,3041,
2015-06-30,togiak,24,24,28,56,2971,181,1797,3,0,4952,
2015-07-01,togiak,24,24,25,67,2336,95,1609,1,0,4041,
2015-07-02,togiak,24,24,35,77,3717,158,2121,10,0,6006,
2015-07-03,togiak,24,24,40,89,6020,174,2157,4,0,8355,
2015-07-04,togiak,24,24,18,44,4191,68,1155,3,0,5417,
2015-07-05,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-06,togiak,24,24,31,93,3693,87,3397,17,0,7194,
2015-07-07,togiak,24,24,56,106,7279,162,4356,14,0,11811,
2015-07-08,togiak,24,24,37,94,6694,117,2592,13,0,9416,
2015-07-09,togiak,24,24,67,115,9114,183,7216,29,0,16542,
2015-07-10,togiak,24,24,30,71,4610,48,2441,3,1,7103,
2015-07-11,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-12,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-13,togiak,24,24,34,88,10323,57,5048,57,0,15485,
2015-07-14,togiak,24,24,48,40,7786,55,4360,31,0,12232,
2015-07-15,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-16,togiak,24,24,43,94,9121,52,3716,8,0,12897,
2015-07-17,togiak,24,24,58,85,11559,59,4598,28,0,16244,
2015-07-18,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-19,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-20,togiak,24,24,42,102,16454,37,4208,29,1,20729,
2015-07-21,togiak,24,24,49,56,11272,24,3421,10,1,14728,
2015-07-22,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-23,togiak,24,24,56,93,11568,25,3668,21,0,15282,
2015-07-24,togiak,24,24,23,66,9204,17,1926,11,0,11158,
2015-07-25,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-26,togiak,0,0,0,0,0,0,0,0,0,0,
2015-07-27,togiak,24,24,46,57,12871,15,1752,5,1,14644,
2015-07-28,togiak,24,24,63,111,19081,29,2814,34,4,21962,
2015-07-29,togiak,24,24,64,110,15892,33,2689,10,3,18627,
2015-07-30,togiak,24,24,43,117,18645,26,3969,49,0,22689,
2015-07-31,togiak,24,24,50,106,15430,21,2126,25,8,17610,
2015-08-01,togiak,24,24,50,97,13483,18,1310,20,4,14835,
2015-08-02,togiak,24,24,23,35,7340,5,565,4,2,7916,
2015-08-03,togiak,24,24,43,32,6933,10,763,5,9,7720,
2015-08-04,togiak,24,24,67,95,8378,10,1044,22,19,9473,
2015-08-05,togiak,24,24,38,76,6056,14,700,44,21,6835,
2015-08-06,togiak,24,24,16,91,5445,6,815,35,18,6319,
2015-08-07,togiak,24,24,19,69,5944,8,790,41,34,6817,
2015-08-08,togiak,24,24,18,62,4529,9,652,30,76,5296,
2015-08-09,togiak,24,24,3,3,3074,0,129,0,10,3213,
2015-08-10,togiak,24,24,16,20,1854,3,216,12,96,2181,
2015-08-11,togiak,24,24,28,55,3088,4,507,20,183,3802,
2015-08-12,togiak,24,24,14,40,3901,4,386,13,216,4520,
2015-08-13,togiak,24,24,15,49,4022,7,361,23,484,4897,
2015-08-14,togiak,24,24,13,48,3578,10,333,10,937,4868,
2015-08-15,togiak,24,24,15,38,2692,3,243,14,1005,3957,
2015-08-16,togiak,24,24,1,8,1637,2,42,0,219,1900,
2015-08-17,togiak,24,24,11,26,670,2,103,10,1550,2335,
2015-08-18,togiak,24,24,12,45,1196,2,108,8,1827,3141,
2015-08-19,togiak,24,24,4,46,1058,1,82,10,1674,2825,
2015-08-20,togiak,24,24,5,51,984,3,68,1,1505,2561,
2015-08-21,togiak,24,24,5,16,816,1,49,8,1255,2129,
2015-08-22,togiak,24,24,4,35,935,1,29,0,1330,2295,
2015-08-23,togiak,24,24,1,5,323,1,4,0,126,454,
2015-08-24,togiak,24,24,4,22,168,0,6,1,1032,1207,
2015-08-25,togiak,24,24,1,34,418,2,37,2,2303,2762,
2015-08-26,togiak,24,24,0,33,212,3,23,4,1955,2197,
2015-08-27,togiak,24,24,1,26,202,0,16,5,875,1098,
2015-08-28,togiak,24,24,3,13,260,0,12,1,1301,1574,
2015-08-29,togiak,0,0,0,0,0,0,0,0,0,0,
2015-08-30,togiak,0,0,0,0,0,0,0,0,0,0,
2015-08-31,togiak,24,24,6,21,207,0,1,1,2797,3006,
2015-09-01,togiak,24,24,7,17,114,1,8,0,2869,2992,
2015-09-02,togiak,24,24,2,4,47,0,2,0,145,194,
