date,districtKey,driftPermits,dualPermits,driftBoats,flags,notes
2015-06-25,naknek_kvichak,273,28,245,,
2015-06-25,egegik,391,71,320,,
2015-06-25,ugashik,79,18,61,,
2015-06-25,nushagak,464,82,382,,
2015-06-25,togiak,40,,40,,
2015-06-26,naknek_kvichak,269,26,243,,
2015-06-26,egegik,440,82,358,,
2015-06-26,ugashik,94,22,72,,
2015-06-26,nushagak,474,84,390,,
2015-06-26,togiak,41,,41,,
2015-06-27,naknek_kvichak,554,76,478,,
2015-06-27,egegik,457,84,373,,
2015-06-27,ugashik,100,23,77,,
2015-06-27,nushagak,449,77,372,,
2015-06-27,togiak,42,,42,,
2015-06-28,naknek_kvichak,567,79,488,,
2015-06-28,egegik,463,85,378,,
2015-06-28,ugashik,108,27,81,,
2015-06-28,nushagak,448,77,371,,
2015-06-28,togiak,43,,43,,
2015-06-29,naknek_kvichak,614,91,523,,
2015-06-29,egegik,466,86,380,,
2015-06-29,ugashik,111,29,82,,
2015-06-29,nushagak,441,75,366,,
2015-06-29,togiak,45,,45,,
2015-06-30,naknek_kvichak,629,98,531,,
2015-06-30,egegik,459,85,374,,
2015-06-30,ugashik,118,29,89,,
2015-06-30,nushagak,435,73,362,,
2015-06-30,togiak,46,,46,,
2015-07-01,naknek_kvichak,625,98,527,,
2015-07-01,egegik,464,86,378,,
2015-07-01,ugashik,121,31,90,,
2015-07-01,nushagak,429,72,357,,
2015-07-01,togiak,46,,46,,
2015-07-02,naknek_kvichak,630,99,531,,
2015-07-02,egegik,467,87,380,,
2015-07-02,ugashik,138,33,105,,
2015-07-02,nushagak,416,68,348,,
2015-07-02,togiak,47,,47,,
2015-07-03,naknek_kvichak,638,99,539,,
2015-07-03,egegik,470,88,382,,
2015-07-03,ugashik,140,34,106,,
2015-07-03,nushagak,399,65,334,,
2015-07-03,togiak,47,,47,,
2015-07-04,naknek_kvichak,650,103,547,,
2015-07-04,egegik,454,86,368,,
2015-07-04,ugashik,141,34,107,,
2015-07-04,nushagak,385,61,324,,
2015-07-04,togiak,48,,48,,
2015-07-05,naknek_kvichak,646,102,544,,
2015-07-05,egegik,443,83,360,,
2015-07-05,ugashik,146,34,112,,
2015-07-05,nushagak,366,56,310,,
2015-07-05,togiak,48,,48,,
2015-07-06,naknek_kvichak,647,103,544,,
2015-07-06,egegik,418,80,338,,
2015-07-06,ugashik,157,37,120,,
2015-07-06,nushagak,329,51,278,,
2015-07-06,togiak,50,,50,,
2015-07-07,naknek_kvichak,649,104,545,,
2015-07-07,egegik,375,68,307,,
2015-07-07,ugashik,189,43,146,,
2015-07-07,nushagak,324,50,274,,
2015-07-07,togiak,51,,51,,
2015-07-08,naknek_kvichak,657,106,551,,
2015-07-08,egegik,358,63,295,,
2015-07-08,ugashik,256,54,202,,
2015-07-08,nushagak,239,35,204,,
2015-07-08,togiak,52,,52,,
2015-07-09,naknek_kvichak,670,109,561,,
2015-07-09,egegik,350,62,288,,
2015-07-09,ugashik,301,66,235,,
2015-07-09,nushagak,217,30,187,,
2015-07-09,togiak,52,,52,,
2015-07-10,naknek_kvichak,760,122,638,,
2015-07-10,egegik,342,60,282,,
2015-07-10,ugashik,316,71,245,,
2015-07-10,nushagak,217,30,187,,
2015-07-10,togiak,52,,52,,
2015-07-11,naknek_kvichak,785,128,657,,
2015-07-11,egegik,321,55,266,,
2015-07-11,ugashik,277,60,217,,
2015-07-11,nushagak,217,30,187,,
2015-07-11,togiak,52,,52,,
2015-07-12,naknek_kvichak,804,133,671,,
2015-07-12,egegik,300,51,249,,
2015-07-12,ugashik,243,53,190,,
2015-07-12,nushagak,217,30,187,,
2015-07-12,togiak,52,,52,,
2015-07-13,naknek_kvichak,870,149,721,,
2015-07-13,egegik,296,51,245,,
2015-07-13,ugashik,236,50,186,,
2015-07-13,nushagak,210,28,182,,
2015-07-13,togiak,52,,52,,
2015-07-14,naknek_kvichak,973,170,803,,
2015-07-14,egegik,271,46,225,,
2015-07-14,ugashik,232,49,183,,
2015-07-14,nushagak,210,29,181,,
2015-07-14,togiak,52,,52,,
2015-07-15,naknek_kvichak,991,175,816,,
2015-07-15,egegik,260,42,218,,
2015-07-15,ugashik,226,48,178,,
2015-07-15,nushagak,209,29,180,,
2015-07-15,togiak,52,,52,,
2015-07-16,naknek_kvichak,994,177,817,,
2015-07-16,egegik,259,41,218,,
2015-07-16,ugashik,223,47,176,,
2015-07-16,nushagak,209,29,180,,
2015-07-16,togiak,52,,52,,
