date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2021-06-14,ugashik,15,15,3,0,172,8,3,0,0,183,
2021-06-15,ugashik,24,24,4,0,807,19,7,0,0,833,
2021-06-16,ugashik,24,24,4,0,1266,33,25,0,0,1324,
2021-06-17,ugashik,24,24,5,0,1543,16,29,0,0,1588,
2021-06-18,ugashik,9,9,1,0,0,0,0,0,0,0,closed/confidential
2021-06-19,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-06-20,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-06-21,ugashik,15,15,21,7,19662,17,150,0,0,19829,
2021-06-22,ugashik,24,24,21,8,25004,28,71,0,0,25103,
2021-06-23,ugashik,9,9,15,0,12278,6,53,0,0,12337,
2021-06-24,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-06-25,ugashik,10,10,29,28,46109,18,97,0,0,46224,
2021-06-26,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-06-27,ugashik,8,8,52,38,41139,17,106,0,0,41262,
2021-06-28,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-06-29,ugashik,6,8,68,65,85230,26,118,0,0,85374,
2021-06-30,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-07-01,ugashik,7,10,90,38,161899,3,1479,0,0,163381,
2021-07-02,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-07-03,ugashik,6,10,88,42,156306,30,368,0,0,156704,
2021-07-04,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-07-05,ugashik,4.5,10,95,41,133147,22,286,0,0,133455,
2021-07-06,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-07-07,ugashik,3.5,10,99,72,219193,17,505,0,0,219715,
2021-07-08,ugashik,0,0,0,0,0,0,0,0,0,0,closed
2021-07-09,ugashik,6,10,110,102,193050,10,427,0,0,193487,
2021-07-10,ugashik,3.5,8,111,101,136747,10,156,0,0,136913,
2021-07-11,ugashik,8,10,198,131,654059,13,762,0,0,654834,
2021-07-12,ugashik,10,12,231,156,676486,7,919,0,0,677412,
2021-07-13,ugashik,9,12,272,125,665124,19,2991,0,0,668134,
2021-07-14,ugashik,9.5,12,251,138,503531,11,1669,0,0,505211,
2021-07-15,ugashik,12,12,243,118,334518,20,1685,0,0,336223,
2021-07-16,ugashik,9.5,9.5,280,80,217932,18,1022,0,0,218972,
2021-07-17,ugashik,24,24,249,57,235266,8,955,0,0,236229,
2021-07-18,ugashik,24,24,247,54,137838,17,816,0,0,138671,
2021-07-19,ugashik,24,24,203,40,67130,14,656,0,0,67800,
2021-07-20,ugashik,24,24,193,28,66483,2,499,0,0,66984,
2021-07-21,ugashik,24,24,133,13,76904,21,677,0,0,77602,
2021-07-22,ugashik,24,24,132,12,68187,1,899,0,0,69087,
2021-07-23,ugashik,24,24,84,31,50019,3,471,0,0,50493,
2021-07-24,ugashik,24,24,91,18,42916,2,592,0,0,43510,
2021-07-25,ugashik,24,24,57,23,39010,0,578,0,0,39588,
2021-07-26,ugashik,24,24,61,24,34567,3,533,0,0,35103,
2021-07-27,ugashik,24,24,46,17,26833,0,409,8,96,27338,
2021-07-28,ugashik,24,24,15,8,8863,0,127,0,0,8990,
2021-07-29,ugashik,24,24,18,8,10206,1,117,0,0,10324,
2021-07-30,ugashik,24,24,11,2,6778,0,87,0,0,6865,
2021-07-31,ugashik,24,24,12,2,11994,1,71,0,0,12066,
2021-08-01,ugashik,24,24,7,0,7949,0,50,0,0,7999,
2021-08-02,ugashik,24,24,8,2,6597,0,40,0,0,6637,
2021-08-03,ugashik,24,24,5,2,5155,0,125,9,11,5300,
2021-08-04,ugashik,24,24,4,0,4071,2,83,1,3,4160,
2021-08-05,ugashik,24,24,7,0,5187,0,30,0,0,5217,
2021-08-06,ugashik,24,24,3,0,2010,1,7,18,0,2036,
2021-08-07,ugashik,24,24,5,0,3760,0,42,0,0,3802,
2021-08-08,ugashik,24,24,3,1,2184,0,0,0,5,2189,
