date,riverKey,method,isOperational,dailyEscapement,cumulativeEscapement,flags,notes
2021-06-06,nushagak,sonar,true,136,136,,sonar_sockeye_only
2021-06-07,nushagak,sonar,true,296,432,,sonar_sockeye_only
2021-06-08,nushagak,sonar,true,357,789,,sonar_sockeye_only
2021-06-09,nushagak,sonar,true,513,1302,,sonar_sockeye_only
2021-06-10,nushagak,sonar,true,354,1656,,sonar_sockeye_only
2021-06-11,nushagak,sonar,true,450,2106,,sonar_sockeye_only
2021-06-12,nushagak,sonar,true,773,2879,,sonar_sockeye_only
2021-06-13,nushagak,sonar,true,2079,4958,,sonar_sockeye_only
2021-06-14,nushagak,sonar,true,2686,7644,,sonar_sockeye_only
2021-06-15,nushagak,sonar,true,1702,9346,,sonar_sockeye_only
2021-06-16,nushagak,sonar,true,21938,31284,,sonar_sockeye_only
2021-06-17,alagnak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-17,egegik,tower,true,3648,3648,,eastside_page_39
2021-06-17,igushik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_52
2021-06-17,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-17,naknek,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-17,nushagak,sonar,true,27207,58491,,sonar_sockeye_only
2021-06-17,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_52
2021-06-17,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-17,wood,tower,true,3372,3372,,page_52
2021-06-18,alagnak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-18,egegik,tower,true,7644,11292,,eastside_page_39
2021-06-18,igushik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_52
2021-06-18,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-18,naknek,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-18,nushagak,sonar,true,14769,73260,,sonar_sockeye_only
2021-06-18,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_52
2021-06-18,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-18,wood,tower,true,4872,8244,,page_52
2021-06-19,alagnak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-19,egegik,tower,true,8694,19986,,eastside_page_39
2021-06-19,igushik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_52
2021-06-19,kvichak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_39
2021-06-19,naknek,tower,true,234,234,,eastside_page_39
