date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2016-06-13,ugashik,15,15,13,1,1352,17,28,0,0,1397,
2016-06-14,ugashik,24,24,14,0,1336,7,52,0,0,1395,
2016-06-15,ugashik,24,24,25,1,1301,35,27,0,0,1363,
2016-06-16,ugashik,24,24,22,0,940,5,19,0,0,964,
2016-06-17,ugashik,0,0,0,0,0,0,0,0,0,8,
2016-06-20,ugashik,15,15,73,13,22882,36,723,0,0,23641,
2016-06-21,ugashik,24,24,51,10,10301,59,156,0,0,10516,
2016-06-22,ugashik,24,24,106,15,24378,146,474,0,0,24998,
2016-06-23,ugashik,10,15,0,15,1621,43,0,0,0,1664,
2016-06-24,ugashik,3,10,147,34,42892,64,540,0,0,43496,
2016-06-25,ugashik,8,8,0,37,6448,60,0,0,0,6508,
2016-06-26,ugashik,9,9,2,47,9878,86,0,0,0,9964,
2016-06-27,ugashik,4,9,175,42,80150,76,1234,0,0,81460,
2016-06-28,ugashik,4,8,181,45,71428,59,1352,0,0,72839,
2016-06-29,ugashik,4,7,181,48,80795,59,1460,0,0,82314,
2016-06-30,ugashik,0,0,0,0,0,0,0,0,0,543,
2016-07-01,ugashik,4,9,188,67,142124,140,1913,0,0,144177,
2016-07-02,ugashik,4,9,160,23,117290,34,1463,0,0,118787,
2016-07-03,ugashik,8,9,186,55,238669,70,1681,0,0,240420,
2016-07-04,ugashik,4,9,186,65,77415,44,544,0,0,78003,
2016-07-05,ugashik,7,9,201,56,243951,37,1857,0,0,245845,
2016-07-06,ugashik,8,9,204,68,380069,29,2592,0,0,382690,
2016-07-07,ugashik,10,10,191,82,311609,49,1323,0,0,312981,
2016-07-08,ugashik,11,11,212,71,248155,39,1756,0,0,249950,
2016-07-09,ugashik,13,11.5,213,35,298349,20,2349,0,0,300718,
2016-07-10,ugashik,8,13.5,193,55,321020,17,2662,0,0,323699,
2016-07-11,ugashik,18,16,268,64,333543,42,2914,55,0,336554,
2016-07-12,ugashik,18.5,12.5,227,90,310362,26,2416,0,0,312804,
2016-07-13,ugashik,18,20,272,91,366566,20,2871,0,0,369457,
2016-07-14,ugashik,18,24,286,72,459578,22,3671,0,0,463271,
2016-07-15,ugashik,18,24,306,77,391034,8,3600,0,0,394642,
2016-07-16,ugashik,17,24,281,63,397643,9,5489,3,0,403144,
2016-07-17,ugashik,24,24,243,69,323109,8,4824,0,0,327941,
2016-07-18,ugashik,24,24,205,16,291207,10,3141,0,0,294358,
2016-07-19,ugashik,24,24,235,29,294699,8,3686,126,0,298519,
2016-07-20,ugashik,24,24,184,37,161309,11,1992,127,0,163439,
2016-07-21,ugashik,24,24,152,23,154244,14,2452,102,0,156812,
2016-07-22,ugashik,24,24,102,6,89115,3,1941,280,0,91339,
2016-07-23,ugashik,24,24,55,3,53985,1,1072,84,0,55142,
2016-07-24,ugashik,24,24,103,18,73289,6,2020,86,0,75401,
2016-07-25,ugashik,24,24,79,23,50105,4,1323,50,0,51482,
2016-07-26,ugashik,24,24,98,8,59586,6,2311,58,0,61961,
2016-07-27,ugashik,24,24,37,5,22123,3,410,51,0,22587,
2016-07-28,ugashik,24,24,25,2,16215,0,686,87,0,16988,
2016-07-29,ugashik,24,24,25,2,16103,0,312,18,0,16433,
2016-07-30,ugashik,24,24,15,1,8170,0,368,52,63,8653,
2016-07-31,ugashik,24,24,9,1,3560,0,148,32,37,3777,
2016-08-01,ugashik,24,24,10,1,4747,1,156,0,2,4906,
2016-08-02,ugashik,24,24,7,1,4312,0,153,52,0,4517,
2016-08-03,ugashik,24,24,17,1,7509,1,266,177,0,7953,
2016-08-04,ugashik,0,0,0,0,0,0,0,0,0,122,
2016-08-05,ugashik,24,24,4,0,1680,0,56,31,2,1769,
2016-08-06,ugashik,24,24,4,0,1401,0,50,27,0,1478,
