date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2016-06-14,togiak,24,24,0,3,6,2,12,0,0,20,
2016-06-15,togiak,24,24,0,4,48,0,8,0,0,56,
2016-06-16,togiak,24,24,0,10,180,2,25,0,0,207,
2016-06-17,togiak,24,24,0,6,32,2,14,0,0,48,
2016-06-18,togiak,0,0,0,0,0,0,0,0,0,0,
2016-06-19,togiak,0,0,0,0,0,0,0,0,0,0,
2016-06-20,togiak,24,24,7,26,386,9,23,0,0,418,
2016-06-21,togiak,24,24,15,61,951,88,139,0,0,1178,
2016-06-22,togiak,24,24,6,53,658,78,149,0,0,885,
2016-06-23,togiak,0,0,0,0,0,0,0,0,0,0,
2016-06-24,togiak,0,0,0,0,0,0,0,0,0,0,
2016-06-25,togiak,0,0,0,0,0,0,0,0,0,0,
2016-06-26,togiak,0,0,0,0,0,0,0,0,0,0,
2016-06-27,togiak,24,24,79,142,3415,264,2237,42,0,5958,
2016-06-28,togiak,24,24,79,211,3972,298,2769,68,0,7107,
2016-06-29,togiak,24,24,29,138,2290,118,1221,44,0,3673,
2016-06-30,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-01,togiak,24,24,89,176,6403,169,4094,75,0,10741,
2016-07-02,togiak,24,24,146,256,9551,238,4395,152,0,14336,
2016-07-03,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-04,togiak,24,24,78,268,12997,121,2548,160,0,15826,
2016-07-05,togiak,24,24,153,376,19028,295,7955,350,0,27628,
2016-07-06,togiak,24,24,202,393,24403,263,11019,379,0,36064,
2016-07-07,togiak,24,24,153,370,19579,213,6928,466,0,27186,
2016-07-08,togiak,24,24,176,436,26117,243,10825,532,0,37717,
2016-07-09,togiak,24,24,104,289,17323,123,6234,330,0,24010,
2016-07-10,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-11,togiak,24,24,136,293,19886,98,7089,528,0,27601,
2016-07-12,togiak,24,24,176,317,25227,100,8847,760,0,34934,
2016-07-13,togiak,24,24,157,397,27059,116,9126,902,0,37203,
2016-07-14,togiak,24,24,154,429,25368,109,9761,898,0,36136,
2016-07-15,togiak,24,24,123,375,21188,94,7464,734,0,29462,
2016-07-16,togiak,24,24,113,346,20919,63,6256,956,0,28194,
2016-07-17,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-18,togiak,24,24,98,208,13425,21,4620,1163,0,19229,
2016-07-19,togiak,24,24,158,320,20438,52,5782,2351,0,28623,
2016-07-20,togiak,24,24,189,326,21965,54,6894,3299,3,33215,
2016-07-21,togiak,24,24,129,377,23648,36,6119,4066,0,33869,
2016-07-22,togiak,24,24,56,134,8372,15,1758,1774,0,11919,
2016-07-23,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-24,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-25,togiak,24,24,143,337,23047,26,4337,9301,3,36714,
2016-07-26,togiak,24,24,154,345,20146,17,4024,12118,7,36312,
2016-07-27,togiak,24,24,117,326,13981,19,2658,12824,1,29483,
2016-07-28,togiak,24,24,164,466,19268,27,3157,17200,6,39658,
2016-07-29,togiak,24,24,41,133,5801,6,698,4722,0,11227,
2016-07-30,togiak,0,0,0,0,0,0,0,0,0,0,
2016-07-31,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-01,togiak,24,24,80,276,11992,10,1462,22398,15,35877,
2016-08-02,togiak,24,24,109,353,15476,12,1577,25964,30,43059,
2016-08-03,togiak,24,24,78,299,9892,11,875,19224,42,30044,
2016-08-04,togiak,24,24,44,217,7147,7,646,13083,21,20904,
2016-08-05,togiak,24,24,5,53,1777,1,144,2581,5,4508,
2016-08-06,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-07,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-08,togiak,24,24,59,114,1924,3,279,6094,187,8487,
2016-08-09,togiak,24,24,18,173,2519,2,216,5074,111,7922,
2016-08-10,togiak,24,24,16,143,2467,2,254,6612,386,9721,
2016-08-11,togiak,24,24,11,117,2232,3,185,4254,278,6952,
2016-08-12,togiak,24,24,3,58,1037,2,85,1636,165,2925,
2016-08-13,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-14,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-15,togiak,24,24,26,70,615,1,58,704,374,1752,
2016-08-16,togiak,24,24,28,117,1500,1,160,1509,687,3857,
2016-08-17,togiak,24,24,20,59,795,2,52,1201,650,2700,
2016-08-18,togiak,24,24,23,59,717,2,49,536,778,2082,
2016-08-19,togiak,24,24,15,37,414,0,29,465,524,1432,
2016-08-20,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-21,togiak,0,0,0,0,0,0,0,0,0,0,
2016-08-22,togiak,24,24,29,71,418,0,28,204,1133,1783,
2016-08-23,togiak,24,24,32,124,815,1,59,484,1523,2882,
2016-08-24,togiak,24,24,20,99,598,0,32,186,955,1771,
2016-08-25,togiak,24,24,11,62,379,1,17,162,502,1061,
2016-08-26,togiak,24,24,4,33,243,3,17,79,569,911,
