date,riverKey,method,isOperational,dailyEscapement,cumulativeEscapement,flags,notes
2020-06-06,nushagak,sonar,true,389,389,,sonar_sockeye_only
2020-06-07,nushagak,sonar,true,579,968,,sonar_sockeye_only
2020-06-08,nushagak,sonar,true,539,1507,,sonar_sockeye_only
2020-06-09,nushagak,sonar,true,648,2155,,sonar_sockeye_only
2020-06-10,nushagak,sonar,true,1089,3244,,sonar_sockeye_only
2020-06-11,nushagak,sonar,true,904,4148,,sonar_sockeye_only
2020-06-12,nushagak,sonar,true,1114,5262,,sonar_sockeye_only
2020-06-13,nushagak,sonar,true,1688,6950,,sonar_sockeye_only
2020-06-14,nushagak,sonar,true,1459,8409,,sonar_sockeye_only
2020-06-15,nushagak,sonar,true,1282,9691,,sonar_sockeye_only
2020-06-16,nushagak,sonar,true,3548,13239,,sonar_sockeye_only
2020-06-17,igushik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_58
2020-06-17,nushagak,sonar,true,4779,18018,,sonar_sockeye_only
2020-06-17,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_58
2020-06-17,wood,tower,true,6900,6900,,page_58
2020-06-18,alagnak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_40
2020-06-18,egegik,tower,true,1146,1146,,eastside_page_40
2020-06-18,igushik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_58
2020-06-18,kvichak,tower,false,,,prestart_untrusted_alignment,eastside_page_40
2020-06-18,naknek,tower,false,,,missing_daily_or_cum_hard|missing_daily_or_cum_hard,eastside_page_40
2020-06-18,nushagak,sonar,true,12025,30043,,sonar_sockeye_only
2020-06-18,togiak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,page_58
2020-06-18,ugashik,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_40
2020-06-18,wood,tower,true,6990,13890,,page_58
2020-06-19,alagnak,tower,false,,,missing_daily_or_cum_hard|prestart_untrusted_alignment,eastside_page_40
