date,districtKey,driftPermits,dualPermits,driftBoats,flags,notes
2020-06-01,naknek_kvichak,0,0,0,,
2020-06-01,egegik,3,0,3,,
2020-06-01,ugashik,0,0,0,,
2020-06-01,nushagak,1,0,1,,
2020-06-01,togiak,0,0,0,,
2020-06-02,naknek_kvichak,5,1,4,,
2020-06-02,egegik,17,1,16,,
2020-06-02,ugashik,1,0,1,,
2020-06-02,nushagak,12,4,8,,
2020-06-02,togiak,1,0,1,,
2020-06-03,naknek_kvichak,5,1,4,,
2020-06-03,egegik,18,1,17,,
2020-06-03,ugashik,1,0,1,,
2020-06-03,nushagak,14,5,9,,
2020-06-03,togiak,1,0,1,,
2020-06-04,naknek_kvichak,5,1,4,,
2020-06-04,egegik,18,1,17,,
2020-06-04,ugashik,2,0,2,,
2020-06-04,nushagak,15,5,10,,
2020-06-04,togiak,3,0,3,,
2020-06-05,naknek_kvichak,5,1,4,,
2020-06-05,egegik,20,1,19,,
2020-06-05,ugashik,2,0,2,,
2020-06-05,nushagak,15,5,10,,
2020-06-05,togiak,4,0,4,,
2020-06-06,naknek_kvichak,5,1,4,,
2020-06-06,egegik,20,1,19,,
2020-06-06,ugashik,2,0,2,,
2020-06-06,nushagak,15,5,10,,
2020-06-06,togiak,4,0,4,,
2020-06-07,naknek_kvichak,5,1,4,,
2020-06-07,egegik,21,1,20,,
2020-06-07,ugashik,2,0,2,,
2020-06-07,nushagak,15,5,10,,
2020-06-07,togiak,4,0,4,,
2020-06-08,naknek_kvichak,5,1,4,,
2020-06-08,egegik,23,1,22,,
2020-06-08,ugashik,2,0,2,,
2020-06-08,nushagak,15,5,10,,
2020-06-08,togiak,4,0,4,,
2020-06-09,naknek_kvichak,11,1,10,,
2020-06-09,egegik,34,3,31,,
2020-06-09,ugashik,7,0,7,,
2020-06-09,nushagak,27,5,22,,
2020-06-09,togiak,5,0,5,,
2020-06-10,naknek_kvichak,11,1,10,,
2020-06-10,egegik,37,3,34,,
2020-06-10,ugashik,7,0,7,,
2020-06-10,nushagak,33,5,28,,
2020-06-10,togiak,6,0,6,,
2020-06-11,naknek_kvichak,12,1,11,,
2020-06-11,egegik,43,4,39,,
2020-06-11,ugashik,7,0,7,,
2020-06-11,nushagak,35,5,30,,
2020-06-11,togiak,12,0,12,,
2020-06-12,naknek_kvichak,12,1,11,,
2020-06-12,egegik,46,5,41,,
2020-06-12,ugashik,7,0,7,,
2020-06-12,nushagak,37,5,32,,
2020-06-12,togiak,14,0,14,,
2020-06-13,naknek_kvichak,14,1,13,,
2020-06-13,egegik,50,6,44,,
2020-06-13,ugashik,8,1,7,,
2020-06-13,nushagak,42,6,36,,
2020-06-13,togiak,14,0,14,,
2020-06-14,naknek_kvichak,25,1,24,,
2020-06-14,egegik,74,7,67,,
2020-06-14,ugashik,8,1,7,,
2020-06-14,nushagak,42,6,36,,
2020-06-14,togiak,14,0,14,,
2020-06-15,naknek_kvichak,25,1,24,,
2020-06-15,egegik,102,15,87,,
2020-06-15,ugashik,8,1,7,,
2020-06-15,nushagak,46,8,38,,
2020-06-15,togiak,14,0,14,,
2020-06-16,naknek_kvichak,35,1,34,,
2020-06-16,egegik,136,26,110,,
2020-06-16,ugashik,12,3,9,,
2020-06-16,nushagak,65,11,54,,
2020-06-16,togiak,15,0,15,,
2020-06-17,naknek_kvichak,39,1,38,,
2020-06-17,egegik,146,27,119,,
2020-06-17,ugashik,12,3,9,,
2020-06-17,nushagak,78,11,67,,
2020-06-17,togiak,17,0,17,,
2020-06-18,naknek_kvichak,40,1,39,,
2020-06-18,egegik,147,27,120,,
2020-06-18,ugashik,12,3,9,,
2020-06-18,nushagak,96,14,82,,
2020-06-18,togiak,19,0,19,,
2020-06-19,naknek_kvichak,57,1,56,,
2020-06-19,egegik,177,33,144,,
2020-06-19,ugashik,8,1,7,,
2020-06-19,nushagak,112,17,95,,
2020-06-19,togiak,20,0,20,,
2020-06-20,naknek_kvichak,61,1,60,,
2020-06-20,egegik,196,39,157,,
2020-06-20,ugashik,8,1,7,,
2020-06-20,nushagak,152,26,126,,
2020-06-20,togiak,24,0,24,,
2020-06-21,naknek_kvichak,67,1,66,,
2020-06-21,egegik,223,43,180,,
2020-06-21,ugashik,8,1,7,,
2020-06-21,nushagak,175,30,145,,
2020-06-21,togiak,25,0,25,,
2020-06-22,naknek_kvichak,80,6,74,,
2020-06-22,egegik,266,55,211,,
2020-06-22,ugashik,8,1,7,,
2020-06-22,nushagak,201,33,168,,
2020-06-22,togiak,26,0,26,,
2020-06-23,naknek_kvichak,112,14,98,,
2020-06-23,egegik,277,54,223,,
2020-06-23,ugashik,8,1,7,,
2020-06-23,nushagak,270,45,225,,
2020-06-23,togiak,30,0,30,,
2020-06-24,naknek_kvichak,131,15,116,,
2020-06-24,egegik,271,53,218,,
2020-06-24,ugashik,8,1,7,,
2020-06-24,nushagak,335,57,278,,
2020-06-24,togiak,31,0,31,,
2020-06-25,naknek_kvichak,181,24,157,,
2020-06-25,egegik,300,60,240,,
2020-06-25,ugashik,14,3,11,,
2020-06-25,nushagak,528,110,418,,
2020-06-25,togiak,31,0,31,,
2020-06-26,naknek_kvichak,270,48,222,,
2020-06-26,egegik,329,67,262,,
2020-06-26,ugashik,25,7,18,,
2020-06-26,nushagak,697,168,529,,
2020-06-26,togiak,31,0,31,,
2020-06-27,naknek_kvichak,350,74,276,,
2020-06-27,egegik,393,88,305,,
2020-06-27,ugashik,29,9,20,,
2020-06-27,nushagak,682,160,522,,
2020-06-27,togiak,33,0,33,,
2020-06-28,naknek_kvichak,389,85,304,,
2020-06-28,egegik,408,92,316,,
2020-06-28,ugashik,30,9,21,,
2020-06-28,nushagak,675,159,516,,
2020-06-28,togiak,34,0,34,,
2020-06-29,naknek_kvichak,434,99,335,,
2020-06-29,egegik,410,92,318,,
2020-06-29,ugashik,31,9,22,,
2020-06-29,nushagak,677,160,517,,
2020-06-29,togiak,35,0,35,,
2020-06-30,naknek_kvichak,459,103,356,,
2020-06-30,egegik,431,96,335,,
2020-06-30,ugashik,29,8,21,,
2020-06-30,nushagak,676,160,516,,
2020-06-30,togiak,36,0,36,,
2020-07-01,naknek_kvichak,466,104,362,,
2020-07-01,egegik,440,100,340,,
2020-07-01,ugashik,30,8,22,,
2020-07-01,nushagak,662,156,506,,
2020-07-01,togiak,37,0,37,,
2020-07-02,naknek_kvichak,473,105,368,,
2020-07-02,egegik,446,101,345,,
2020-07-02,ugashik,34,8,26,,
2020-07-02,nushagak,636,145,491,,
2020-07-02,togiak,37,0,37,,
2020-07-03,naknek_kvichak,495,114,381,,
2020-07-03,egegik,450,102,348,,
2020-07-03,ugashik,37,9,28,,
2020-07-03,nushagak,589,128,461,,
2020-07-03,togiak,37,0,37,,
2020-07-04,naknek_kvichak,511,120,391,,
2020-07-04,egegik,462,107,355,,
2020-07-04,ugashik,42,10,32,,
2020-07-04,nushagak,540,110,430,,
2020-07-04,togiak,37,0,37,,
2020-07-05,naknek_kvichak,518,120,398,,
2020-07-05,egegik,500,121,379,,
2020-07-05,ugashik,47,10,37,,
2020-07-05,nushagak,479,101,378,,
2020-07-05,togiak,37,0,37,,
2020-07-06,naknek_kvichak,531,123,408,,
2020-07-06,egegik,529,134,395,,
2020-07-06,ugashik,48,10,38,,
2020-07-06,nushagak,478,101,377,,
2020-07-06,togiak,37,0,37,,
2020-07-07,naknek_kvichak,544,126,418,,
2020-07-07,egegik,573,140,433,,
2020-07-07,ugashik,48,10,38,,
2020-07-07,nushagak,488,105,383,,
2020-07-07,togiak,39,0,39,,
2020-07-08,naknek_kvichak,548,126,422,,
2020-07-08,egegik,570,141,429,,
2020-07-08,ugashik,50,10,40,,
2020-07-08,nushagak,484,102,382,,
2020-07-08,togiak,39,0,39,,
2020-07-09,naknek_kvichak,550,126,424,,
2020-07-09,egegik,567,141,426,,
2020-07-09,ugashik,44,7,37,,
2020-07-09,nushagak,466,96,370,,
2020-07-09,togiak,42,0,42,,
2020-07-10,naknek_kvichak,558,129,429,,
2020-07-10,egegik,556,136,420,,
2020-07-10,ugashik,46,7,39,,
2020-07-10,nushagak,437,86,351,,
2020-07-10,togiak,43,0,43,,
