date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2020-06-11,egegik,15,15,5,10,395,4,9,0,0,408,
2020-06-12,egegik,9,9,0,0,0,0,0,0,0,0,
2020-06-13,egegik,0,0,0,0,0,0,0,0,0,0,
2020-06-14,egegik,0,0,0,0,0,0,0,0,0,0,
2020-06-15,egegik,15,15,84,67,5216,25,118,0,0,5359,
2020-06-16,egegik,24,24,12,22,969,3,14,0,0,986,
2020-06-17,egegik,9,9,9,0,237,0,6,0,0,243,
2020-06-18,egegik,0,0,0,0,0,0,0,0,0,0,
2020-06-19,egegik,6,8,144,116,20777,27,352,0,0,21156,
2020-06-20,egegik,0,0,0,0,0,0,0,0,0,0,
2020-06-21,egegik,6,8,196,124,38545,30,595,0,0,39170,
2020-06-22,egegik,5,0,177,0,20016,17,454,0,0,20487,
2020-06-23,egegik,0,0,0,0,0,0,0,0,0,0,
2020-06-24,egegik,8,8,227,164,57247,68,1046,0,0,58361,
2020-06-25,egegik,8,8,247,160,82646,71,1911,0,0,84628,
2020-06-26,egegik,6,8,275,158,113864,35,2365,0,0,116264,
2020-06-27,egegik,6,8,296,139,115855,48,1481,0,0,117384,
2020-06-28,egegik,4,5,299,166,81480,21,647,0,0,82148,
2020-06-29,egegik,4,5,299,166,81480,21,647,0,0,82148,
2020-06-30,egegik,0,3,12,18,12973,0,76,0,0,13049,
2020-07-01,egegik,8.5,11,656,436,379397,54,1989,0,0,381440,
2020-07-02,egegik,10.25,15.25,599,343,396189,30,2296,0,0,398515,
2020-07-03,egegik,10.25,15.25,639,381,592659,31,1452,0,0,594142,
2020-07-04,egegik,8.5,14.5,417,279,590925,17,1071,0,0,592013,
2020-07-05,egegik,4.5,8,404,324,550940,26,725,0,0,551691,
2020-07-06,egegik,9,16,738,578,1018734,27,1685,0,0,1020446,
2020-07-07,egegik,6,8,403,254,641627,11,1205,0,0,642843,
2020-07-08,egegik,11,16,661,349,831352,17,1904,0,0,833273,
2020-07-09,egegik,11.5,16,716,329,781957,22,2031,0,0,784010,
2020-07-10,egegik,12,16,735,261,590845,19,1474,0,0,592338,
2020-07-11,egegik,15.5,20.5,705,432,1009343,12,1802,0,0,1011157,
2020-07-12,egegik,15,15,676,280,653754,11,3388,0,0,657153,
2020-07-13,egegik,15.25,15.25,645,325,544703,11,585,0,0,545299,
2020-07-14,egegik,14.5,14.5,751,501,781598,10,1798,0,0,783406,
2020-07-15,egegik,15.75,15.75,686,329,535658,8,1198,0,0,536864,
2020-07-16,egegik,20.5,20.5,516,206,362639,4,919,0,0,363562,
2020-07-17,egegik,24,24,377,267,323365,4,1467,0,0,324836,
2020-07-18,egegik,24,24,346,168,245554,3,1841,0,0,247398,
2020-07-19,egegik,24,24,290,224,252213,8,1139,0,0,253360,
2020-07-20,egegik,24,24,312,153,253113,9,1076,23,25,254246,
2020-07-21,egegik,24,24,225,128,214207,6,868,48,60,215189,
2020-07-22,egegik,24,24,280,180,314726,8,2193,70,79,317076,
2020-07-23,egegik,24,24,231,166,205589,3,821,85,101,206599,
2020-07-24,egegik,24,24,219,84,153879,0,1412,78,123,155492,
2020-07-25,egegik,24,24,207,80,135321,1,1291,84,137,136834,
2020-07-26,egegik,24,24,144,58,89722,1,439,88,210,90460,
2020-07-27,egegik,24,24,123,41,82000,0,391,68,220,82679,
2020-07-28,egegik,24,24,115,25,68380,1,417,90,198,69086,
2020-07-29,egegik,24,24,87,21,48856,3,275,59,174,49367,
2020-07-30,egegik,24,24,61,24,38341,3,238,50,360,38992,
2020-07-31,egegik,24,24,18,5,13360,1,58,25,94,13538,
2020-08-01,egegik,24,24,32,20,21506,0,145,81,461,22193,
2020-08-02,egegik,9,9,0,0,0,0,0,0,0,0,
2020-08-03,egegik,15,15,10,6,13163,0,77,5,184,13429,
2020-08-04,egegik,24,24,23,6,14832,0,28,172,291,15323,
2020-08-05,egegik,24,24,14,4,8362,0,240,5,233,8840,
2020-08-06,egegik,24,24,15,6,12386,0,110,23,412,12931,
2020-08-07,egegik,24,24,12,2,7647,0,82,25,501,8255,
2020-08-08,egegik,24,24,10,4,7136,0,141,65,432,7774,
2020-08-09,egegik,9,9,0,0,0,0,0,0,0,0,
2020-08-10,egegik,15,15,8,5,4956,0,100,59,1135,6250,
2020-08-11,egegik,24,24,13,4,6573,0,102,132,2436,9243,
2020-08-12,egegik,24,24,16,3,5070,0,80,120,2577,7847,
2020-08-13,egegik,24,24,11,4,4279,0,119,107,2266,6771,
2020-08-14,egegik,24,24,6,2,3109,0,135,83,1474,4801,
2020-08-15,egegik,24,24,5,1,1266,0,45,75,505,1891,

