date,districtKey,nushagakHoursRaw,igushikHoursRaw,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,flags,notes
2020-06-15,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-16,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-17,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-18,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-19,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-20,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-21,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-22,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-23,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-24,nushagak,0/0,0/8,0,8,0,0,0,0,0,0,0,0,,
2020-06-25,nushagak,5/12,5/12,12,12,497,304,167742,1315,14679,1,6,183743,,
2020-06-26,nushagak,5/12,5/12,12,12,449,203,140966,624,7441,1,0,149032,,
2020-06-27,nushagak,9/19,9/19,19,19,637,305,196175,632,6470,0,0,203277,,
2020-06-28,nushagak,8.5/24,8.5/24,24,24,612,319,244252,481,5940,0,0,250673,,
2020-06-29,nushagak,5.5/19,5.5/19,19,19,419,227,254213,252,5061,1,0,259527,,
2020-06-30,nushagak,5.5/12,5.5/12,12,12,455,284,193698,231,4209,0,0,198138,,
2020-07-01,nushagak,6.5/15,6.5/15,15,15,515,314,106081,256,3214,3,0,109554,,
2020-07-02,nushagak,10/24,10/24,24,24,382,238,39611,245,2334,2,0,42192,,
2020-07-03,nushagak,4.5/17,4.5/17,17,17,390,259,66524,259,3502,0,0,70285,,
2020-07-04,nushagak,7.5/24,7.5/24,24,24,334,230,196931,277,4778,3,0,201989,,
2020-07-05,nushagak,11/24,4/24,24,24,580,436,982648,397,11085,0,0,994130,,
2020-07-06,nushagak,14/24,7/24,24,24,629,648,1029953,249,7641,0,0,1037843,,
2020-07-07,nushagak,13.5/24,8/24,24,24,573,619,927155,128,7478,0,0,934761,,
2020-07-08,nushagak,24/24,22/24,24,24,512,343,705171,61,7443,1,0,712676,,
2020-07-09,nushagak,22/24,14/24,24,24,432,483,549810,78,5314,2,0,555204,,
2020-07-10,nushagak,14/24,1/24,24,24,594,481,495614,91,6419,2,0,502126,,
2020-07-11,nushagak,13.5/24,11/24,24,24,370,472,505812,100,5320,5,0,511237,,
2020-07-12,nushagak,15.5/24,24/24,24,24,328,539,440471,98,5650,5,2,446226,,
2020-07-13,nushagak,24/24,24/24,24,24,309,443,272887,96,3468,9,3,276463,,
2020-07-14,nushagak,24/24,24/24,24,24,332,360,273837,74,3336,15,13,277275,,
2020-07-15,nushagak,24/24,24/24,24,24,335,356,274177,54,3193,15,20,277459,,
2020-07-16,nushagak,24/24,24/24,24,24,263,377,185537,61,2239,10,41,187888,,
2020-07-17,nushagak,24/24,24/24,24,24,245,270,126743,45,1741,58,69,128656,,
2020-07-18,nushagak,24/24,24/24,24,24,230,269,146944,28,2734,58,98,149862,,
2020-07-19,nushagak,24/24,24/24,24,24,122,271,65776,44,1166,71,169,67226,,
2020-07-20,nushagak,24/24,24/24,24,24,72,218,46025,16,995,64,147,47247,,
2020-07-21,nushagak,24/24,24/24,24,24,63,177,58186,17,956,130,223,59512,,
2020-07-22,nushagak,24/24,24/24,24,24,38,159,36965,18,603,230,506,38322,,
2020-07-23,nushagak,24/24,24/24,24,24,38,149,38506,15,491,717,318,40047,,
2020-07-24,nushagak,24/24,24/24,24,24,15,90,10877,12,191,151,944,12175,,
2020-07-25,nushagak,24/24,24/24,24,24,20,88,16442,6,177,490,384,17499,,
2020-07-26,nushagak,24/24,24/24,24,24,9,61,6199,4,109,492,310,7114,,
2020-07-27,nushagak,24/24,24/24,24,24,21,50,6878,6,169,1005,1142,9200,,
2020-07-28,nushagak,24/24,24/24,24,24,15,46,4020,11,105,1210,1253,6599,,
2020-07-29,nushagak,24/24,24/24,24,24,8,4,2191,2,31,312,280,2816,,
2020-07-30,nushagak,24/24,24/24,24,24,0,0,0,0,0,0,0,0,,
2020-07-31,nushagak,24/24,24/24,24,24,0,0,0,0,0,0,0,0,,
2020-08-01,nushagak,24/24,24/24,24,24,0,0,0,0,0,0,0,0,,
2020-08-02,nushagak,24/24,24/24,24,24,10,8,988,2,42,2183,914,4129,,
2020-08-03,nushagak,24/24,24/24,24,24,13,11,1612,2,52,2902,2146,6714,,
2020-08-04,nushagak,24/24,24/24,24,24,18,3,581,1,35,2351,2456,5424,,
2020-08-05,nushagak,24/24,24/24,24,24,10,6,503,2,28,1419,1931,3883,,
2020-08-06,nushagak,24/24,24/24,24,24,21,3,727,3,33,1929,3063,5755,,
2020-08-07,nushagak,24/24,24/24,24,24,11,5,456,0,8,648,1577,2689,,
2020-08-08,nushagak,24/24,24/24,24,24,18,0,231,0,31,624,3528,4414,,
2020-08-09,nushagak,24/24,24/24,24,24,18,2,207,0,23,822,1676,2728,,
2020-08-10,nushagak,24/24,24/24,24,24,32,4,751,1,46,1341,4728,6867,,
2020-08-11,nushagak,24/24,24/24,24,24,29,9,728,1,24,1706,3808,6267,,
2020-08-12,nushagak,24/24,24/24,24,24,18,9,583,0,28,1825,2202,4638,,
2020-08-13,nushagak,24/24,24/24,24,24,23,12,620,2,23,1070,5873,7588,,
2020-08-14,nushagak,24/24,24/24,24,24,12,9,219,0,16,472,4956,5663,,
2020-08-15,nushagak,24/24,24/24,24,24,18,9,319,0,10,373,5968,6670,,
2020-08-16,nushagak,24/24,24/24,24,24,14,7,339,1,9,243,3397,3989,,
2020-08-17,nushagak,24/24,24/24,24,24,12,5,195,0,6,219,3867,4287,,
2020-08-18,nushagak,24/24,24/24,24,24,17,3,466,0,12,220,4890,5588,,
2020-08-19,nushagak,24/24,24/24,24,24,11,6,183,0,5,149,3537,3874,,
2020-08-20,nushagak,24/24,24/24,24,24,12,7,184,0,9,278,3681,4152,,
