date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2020-06-22,naknek_kvichak,15,15,70,40,8896,21,108,0,0,9025,
2020-06-23,naknek_kvichak,24,24,51,70,11114,25,95,0,0,11234,
2020-06-24,naknek_kvichak,16,16,103,97,15591,44,159,0,0,15794,
2020-06-25,naknek_kvichak,7,8.5,130,102,41956,11,393,0,0,42360,
2020-06-26,naknek_kvichak,15.5,24,328,258,173032,49,1465,0,0,174546,
2020-06-27,naknek_kvichak,13,24,107,157,16345,12,128,0,0,16485,
2020-06-28,naknek_kvichak,5.5,5.5,96,57,11219,6,91,0,0,11316,
2020-06-29,naknek_kvichak,13.5,24,412,181,258657,21,1112,0,0,259790,
2020-06-30,naknek_kvichak,14,15,268,224,101322,15,245,0,0,101582,
2020-07-01,naknek_kvichak,15,16,312,82,99352,16,264,0,0,99632,
2020-07-02,naknek_kvichak,17.5,24,338,56,171295,12,265,0,0,171572,
2020-07-03,naknek_kvichak,14,24,529,274,571932,23,823,0,0,572778,
2020-07-04,naknek_kvichak,18,24,543,436,353441,62,503,0,0,354006,
2020-07-05,naknek_kvichak,14.5,24,655,402,903393,33,809,0,0,904235,
2020-07-06,naknek_kvichak,15,24,768,550,1000374,31,1028,0,0,1001433,
2020-07-07,naknek_kvichak,14.5,24,743,443,1161200,24,1968,0,1,1163193,
2020-07-08,naknek_kvichak,15.5,24,639,366,903588,18,1397,0,0,905003,
2020-07-09,naknek_kvichak,15,24,738,334,670876,22,959,0,0,671857,
2020-07-10,naknek_kvichak,15,24,717,457,912368,26,934,0,0,913328,
2020-07-11,naknek_kvichak,16,24,842,529,1185109,14,1792,0,0,1186915,
2020-07-12,naknek_kvichak,14.5,24,873,394,554650,17,1582,0,0,556249,
2020-07-13,naknek_kvichak,14,24,942,352,805962,19,2707,0,0,808688,
2020-07-14,naknek_kvichak,14.5,24,995,483,972888,22,2019,0,0,974929,
2020-07-15,naknek_kvichak,14.5,24,914,422,630425,16,1573,0,0,632014,
2020-07-16,naknek_kvichak,21,24,958,247,583346,38,1974,0,0,585358,
2020-07-17,naknek_kvichak,24,24,662,260,373426,31,1509,0,0,374966,
2020-07-18,naknek_kvichak,24,24,579,273,352779,21,2364,0,0,355164,
2020-07-19,naknek_kvichak,24,24,506,246,270842,21,2057,0,2,272922,
2020-07-20,naknek_kvichak,24,24,537,138,300977,19,2127,0,30,303153,
2020-07-21,naknek_kvichak,24,24,340,162,229949,19,2196,7,46,232217,
2020-07-22,naknek_kvichak,24,24,334,152,294211,16,2266,49,46,296588,
2020-07-23,naknek_kvichak,24,24,254,110,90852,12,2336,24,34,93258,
2020-07-24,naknek_kvichak,24,24,206,105,101868,10,597,74,72,102621,
2020-07-25,naknek_kvichak,24,24,153,88,63129,9,423,40,49,63650,
2020-07-26,naknek_kvichak,24,24,101,68,38926,11,249,47,60,39293,
2020-07-27,naknek_kvichak,24,24,70,58,28816,9,87,30,11,28953,
2020-07-28,naknek_kvichak,24,24,30,60,17199,9,73,54,61,17396,
2020-07-29,naknek_kvichak,24,24,31,51,10532,7,133,80,75,10827,
