date,districtKey,nushagakHoursRaw,igushikHoursRaw,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,flags,notes
2019-06-20,nushagak,1/8.5,1/8.5,1.0,8.5,152,246,102615,1079,6628,0,1,110323,nushagak_hours_slash_format,
2019-06-21,nushagak,5/8.5,9.5/9.5,9.5,9.5,388,326,194723,1916,26040,0,0,222679,nushagak_hours_slash_format,
2019-06-22,nushagak,10.5/19.5,10.5/19.5,10.5,19.5,941,359,439883,3016,40678,0,0,483577,nushagak_hours_slash_format,
2019-06-23,nushagak,10/13,10/13,10.0,13.0,902,412,477178,2620,34088,0,1,513887,nushagak_hours_slash_format,
2019-06-24,nushagak,10/24,10/24,10.0,24.0,1041,426,636671,1833,28636,0,1,667141,nushagak_hours_slash_format,
2019-06-25,nushagak,11.5/24,11.5/24,11.5,24.0,903,426,305347,1041,17331,0,5,323724,nushagak_hours_slash_format,
2019-06-26,nushagak,12/24,12/24,12.0,24.0,1091,413,376787,1184,18195,0,0,396166,nushagak_hours_slash_format,
2019-06-27,nushagak,13/24,13/24,13.0,24.0,1029,389,431330,1110,25671,0,4,458111,nushagak_hours_slash_format,
2019-06-28,nushagak,10/24,10/24,10.0,24.0,777,484,512405,1145,24958,1,20,538509,nushagak_hours_slash_format,
2019-06-29,nushagak,12/24,12/24,12.0,24.0,1056,541,725348,922,36894,5,0,763169,nushagak_hours_slash_format,
2019-06-30,nushagak,15.5/24,15.5/24,15.5,24.0,854,541,754083,665,48913,2,1,803664,nushagak_hours_slash_format,
2019-07-01,nushagak,17/24,17/24,17.0,24.0,1005,489,727838,576,50654,10,0,779078,nushagak_hours_slash_format,
2019-07-02,nushagak,16/24,16/24,16.0,24.0,1166,557,900883,469,43914,5,0,945271,nushagak_hours_slash_format,
2019-07-03,nushagak,18.5/24,18.5/24,18.5,24.0,1007,360,684296,275,25206,6,0,709783,nushagak_hours_slash_format,
2019-07-04,nushagak,16.5/24,16.5/24,16.5,24.0,1123,508,954570,302,30434,26,0,985332,nushagak_hours_slash_format,
2019-07-05,nushagak,18/24,18/24,18.0,24.0,1003,456,642648,386,26217,12,0,669263,nushagak_hours_slash_format,
2019-07-06,nushagak,14.5/24,14.5/24,14.5,24.0,941,460,783540,281,29019,18,1,812859,nushagak_hours_slash_format,
2019-07-07,nushagak,16/24,16/24,16.0,24.0,826,532,805013,404,31048,26,0,836491,nushagak_hours_slash_format,
2019-07-08,nushagak,13/24,8.5/24,13.0,24.0,1121,611,900942,263,34164,61,1,935431,nushagak_hours_slash_format,
2019-07-09,nushagak,11/24,0/24,11.0,24.0,879,567,664068,201,29197,9,0,693493,nushagak_hours_slash_format,
2019-07-10,nushagak,11/24,0/24,11.0,24.0,780,582,551553,199,28093,45,2,579892,nushagak_hours_slash_format,
2019-07-11,nushagak,11.5/24,0/7.5,11.5,24.0,580,454,488129,195,22060,54,3,510441,nushagak_hours_slash_format,
2019-07-12,nushagak,15.5/24,0/10,15.5,24.0,437,583,437519,156,21238,102,2,459017,nushagak_hours_slash_format,
2019-07-13,nushagak,16/24,0/10,16.0,24.0,291,401,285044,152,17948,29,64,303237,nushagak_hours_slash_format,
2019-07-14,nushagak,16/24,0/8.5,16.0,24.0,338,464,231441,143,18870,111,155,250720,nushagak_hours_slash_format,
2019-07-15,nushagak,16/24,0/8.5,16.0,24.0,229,358,146379,125,13160,156,434,160254,nushagak_hours_slash_format,
2019-07-16,nushagak,17.5/24,0/8,17.5,24.0,279,498,278783,195,24199,177,799,304153,nushagak_hours_slash_format,
2019-07-17,nushagak,24/24,0/0,24.0,24.0,196,300,160320,127,15596,86,459,176588,nushagak_hours_slash_format,
2019-07-18,nushagak,24/24,0/0,24.0,24.0,243,267,123118,119,21790,149,725,145901,nushagak_hours_slash_format,
2019-07-19,nushagak,24/24,0/0,24.0,24.0,171,200,69647,99,18484,126,915,89271,nushagak_hours_slash_format,
2019-07-20,nushagak,24/24,0/0,24.0,24.0,98,151,47223,76,10886,136,1859,60180,nushagak_hours_slash_format,
2019-07-21,nushagak,24/24,0/0,24.0,24.0,31,144,22336,31,4394,85,1219,28065,nushagak_hours_slash_format,
2019-07-22,nushagak,24/24,6.5/6.5,24.0,24.0,42,136,19564,45,4916,80,1091,25696,nushagak_hours_slash_format,
2019-07-23,nushagak,24/24,24/24,24.0,24.0,26,117,14423,23,3696,71,1694,19907,nushagak_hours_slash_format,
2019-07-24,nushagak,24/24,24/24,24.0,24.0,25,117,14163,22,3092,91,3222,20590,nushagak_hours_slash_format,
2019-07-25,nushagak,24/24,24/24,24.0,24.0,39,98,9641,21,3167,76,7623,20528,nushagak_hours_slash_format,
2019-07-26,nushagak,24/24,24/24,24.0,24.0,73,68,7805,15,5834,89,4021,17764,nushagak_hours_slash_format,
2019-07-27,nushagak,24/24,24/24,24.0,24.0,63,63,3890,9,2325,14,1815,8053,nushagak_hours_slash_format,
2019-07-28,nushagak,24/24,24/24,24.0,24.0,23,61,3802,13,2245,27,1253,7340,nushagak_hours_slash_format,
2019-07-29,nushagak,24/24,24/24,24.0,24.0,18,64,2200,13,2543,54,1149,5959,nushagak_hours_slash_format,
2019-07-30,nushagak,24/24,24/24,24.0,24.0,8,71,2584,6,1917,26,1216,5749,nushagak_hours_slash_format,
2019-07-31,nushagak,9/9,24/24,24.0,24.0,6,44,2804,0,777,20,866,4467,nushagak_hours_slash_format,
