date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2019-06-10,egegik,15,15,10,26,3539,106,19,0,0,3664,
2019-06-11,egegik,24,24,6,35,2074,30,17,0,0,2121,
2019-06-12,egegik,9,9,1,0,0,0,0,0,0,0,
2019-06-13,egegik,15,15,26,57,7555,132,41,0,0,7728,
2019-06-14,egegik,9,9,1,9,0,0,0,0,0,0,
2019-06-17,egegik,8,5,106,179,45593,333,320,0,0,46246,
2019-06-19,egegik,5,8,160,145,68895,236,487,0,0,69618,
2019-06-21,egegik,8,8,255,203,88786,247,1475,0,0,90508,
2019-06-23,egegik,7,7,270,185,144167,156,2068,0,0,146391,
2019-06-24,egegik,5,0,292,9,217515,43,971,0,0,218529,
2019-06-25,egegik,8,8,263,251,143001,123,946,0,0,144070,
2019-06-26,egegik,8,8,301,260,213488,151,1540,0,0,215179,
2019-06-27,egegik,12.5,12.5,568,471,382063,250,1971,0,0,384284,
2019-06-28,egegik,14.25,15.25,527,423,408154,221,2930,0,0,411305,
2019-06-29,egegik,15.25,12.25,693,279,410500,108,3145,0,0,413753,
2019-06-30,egegik,9,8,504,313,303581,143,2193,0,0,305917,
2019-07-01,egegik,7.5,8,380,246,428530,121,3740,0,0,432391,
2019-07-02,egegik,7.5,8,312,329,339743,78,2162,0,0,341983,
2019-07-03,egegik,7.5,8,376,304,507957,102,2728,0,0,510787,
2019-07-04,egegik,6.5,8,355,333,493082,90,2527,0,0,495699,
2019-07-05,egegik,12,8,664,366,852914,78,5606,0,0,858598,
2019-07-06,egegik,12,8,637,328,776601,49,3608,0,0,780258,
2019-07-07,egegik,9.75,8,598,358,741715,55,4439,9,0,746218,
2019-07-08,egegik,9.5,15.25,669,563,825825,50,4910,16,0,830801,
2019-07-09,egegik,9.75,8.75,643,449,742863,40,6742,22,0,749667,
2019-07-10,egegik,10,13.25,572,205,665590,25,6663,0,0,672278,
2019-07-11,egegik,10.5,15.25,626,487,761799,41,8049,0,1,769890,
2019-07-12,egegik,11,15,641,455,760592,31,8507,0,0,769130,
2019-07-13,egegik,13.25,15.25,533,343,578286,20,7388,0,0,585694,
2019-07-14,egegik,15,15,706,305,667268,19,8947,0,0,676234,
2019-07-15,egegik,15.25,15.25,537,344,360030,28,4831,0,1,364890,
2019-07-16,egegik,15.25,19.25,724,319,620749,45,8194,0,0,628988,
2019-07-17,egegik,24,24,498,232,497523,41,9000,2,0,507466,
2019-07-18,egegik,24,24,441,260,324024,29,4785,0,0,328838,
2019-07-19,egegik,24,24,536,233,404755,32,7118,0,0,411905,
2019-07-20,egegik,24,24,284,210,187525,23,4106,0,0,191654,
2019-07-21,egegik,24,24,281,162,168425,9,5129,40,36,173639,
2019-07-22,egegik,24,24,268,153,143197,10,4090,4,40,147341,
2019-07-23,egegik,24,24,172,131,86393,10,2508,9,8,88928,
2019-07-24,egegik,24,24,168,103,75818,10,1800,7,6,77641,
2019-07-25,egegik,24,24,97,75,39575,3,1014,9,8,40609,
2019-07-26,egegik,24,24,94,68,48259,7,1446,29,58,49799,
2019-07-27,egegik,24,24,51,58,38018,3,1536,45,75,39677,
2019-07-28,egegik,24,24,8,4,5112,0,19,1,2,5134,
2019-07-29,egegik,24,24,28,6,21841,0,228,0,31,22100,
2019-07-30,egegik,24,24,55,9,26283,1,605,3,522,27414,
2019-07-31,egegik,24,24,23,3,7366,1,392,0,287,8046,
2019-08-01,egegik,24,24,28,6,14124,1,313,0,484,14922,
2019-08-02,egegik,9,9,55,8,13462,3,776,8,994,15243,
2019-08-05,egegik,15,15,16,1,5533,0,576,4,818,6931,
2019-08-06,egegik,24,24,14,3,4842,0,398,6,567,5813,
2019-08-07,egegik,24,24,9,2,1648,2,810,0,874,3334,
2019-08-08,egegik,24,24,10,2,2590,0,542,0,1163,4295,
2019-08-09,egegik,9,9,13,2,2963,0,270,0,2413,6599,
