date,districtKey,nushagakHoursRaw,igushikHoursRaw,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,flags,notes
2023-06-25,nushagak,4/5,4/18,4,5,327,257,388741,480,9062,0,0,398283,,
2023-06-26,nushagak,8.5/13,8.5/24,8.5,13,875,371,794980,590,11302,0,0,806872,,
2023-06-27,nushagak,6.5/9,6.5/24,6.5,9,712,225,548152,201,7463,0,0,555816,,
2023-06-28,nushagak,14.5/16,14.5/24,14.5,16,788,493,990345,595,10834,0,0,1001774,,
2023-06-29,nushagak,6/24,6/24,6,24,578,563,611439,209,4186,3,0,615837,,
2023-06-30,nushagak,10/13,10/24,10,13,826,337,660351,286,7251,5,0,667893,,
2023-07-01,nushagak,24/24,24/24,24,24,973,386,1534426,190,9539,5,0,1544160,,
2023-07-02,nushagak,19.5/24,19.5/24,19.5,24,538,432,414298,178,3054,7,0,417537,,
2023-07-03,nushagak,19.5/24,19.5/24,19.5,24,961,478,1264644,192,6162,15,0,1271013,,
2023-07-04,nushagak,14.5/24,14.5/24,14.5,24,1149,716,1709253,155,5909,6,0,1715323,,
2023-07-05,nushagak,24/24,24/24,24,24,387,295,582214,155,5542,2,0,587913,,
2023-07-06,nushagak,23/24,23/24,23,24,432,320,338390,117,4498,5,0,343010,,
2023-07-07,nushagak,15/24,15/24,15,24,348,444,160522,145,2583,8,1,163259,,
2023-07-08,nushagak,19.5/24,19.5/24,19.5,24,250,224,155885,137,2390,9,0,158421,,
2023-07-09,nushagak,24/24,24/24,24,24,271,330,634522,74,5367,2,1,639966,,
2023-07-10,nushagak,24/24,24/24,24,24,319,720,606121,91,5437,2,1,611652,,
2023-07-11,nushagak,24/24,24/24,24,24,363,417,224321,99,3667,20,3,228110,,
2023-07-12,nushagak,24/24,24/24,24,24,247,435,190404,84,3819,29,4,194340,,
2023-07-13,nushagak,24/24,24/24,24,24,284,263,502635,65,6867,29,3,509599,,
2023-07-14,nushagak,24/24,24/24,24,24,392,502,577340,72,11013,6,18,588449,,
2023-07-15,nushagak,24/24,24/24,24,24,266,350,329774,86,9274,21,37,339192,,
2023-07-16,nushagak,24/24,24/24,24,24,307,294,220387,68,7807,28,34,228324,,
2023-07-17,nushagak,24/24,24/24,24,24,155,347,103966,41,2984,40,27,107058,,
2023-07-18,nushagak,24/24,24/24,24,24,73,209,53992,24,2783,48,123,56970,,
2023-07-19,nushagak,24/24,24/24,24,24,93,167,98348,40,5766,42,655,104851,,
2023-07-20,nushagak,24/24,24/24,24,24,87,228,87995,38,4571,44,1471,94119,,
2023-07-21,nushagak,24/24,24/24,24,24,33,127,33839,12,1548,60,956,36415,,
2023-07-22,nushagak,24/24,24/24,24,24,11,98,21220,18,662,50,622,22572,,
2023-07-23,nushagak,24/24,24/24,24,24,10,78,16805,6,639,39,794,18283,,
2023-07-24,nushagak,24/24,24/24,24,24,12,49,17920,6,526,0,880,19332,,
2023-07-25,nushagak,24/24,24/24,24,24,0,52,9389,6,218,3,201,9817,,
2023-07-26,nushagak,24/24,24/24,24,24,2,48,11353,3,134,6,1218,12714,,
2023-07-27,nushagak,24/24,24/24,24,24,1,19,5801,5,90,0,0,5896,,
