date,districtKey,driftPermits,dualPermits,driftBoats,flags,notes
2023-06-01,naknek-kvichak,0,0,0,,
2023-06-01,egegik,0,0,0,,
2023-06-01,ugashik,0,0,0,,
2023-06-01,nushagak,0,0,0,,
2023-06-01,togiak,0,0,0,,
2023-06-02,naknek-kvichak,3,0,3,,
2023-06-02,egegik,8,1,7,,
2023-06-02,ugashik,0,0,0,,
2023-06-02,nushagak,1,0,1,,
2023-06-02,togiak,0,0,0,,
2023-06-03,naknek-kvichak,3,0,3,,
2023-06-03,egegik,8,1,7,,
2023-06-03,ugashik,0,0,0,,
2023-06-03,nushagak,1,0,1,,
2023-06-03,togiak,0,0,0,,
2023-06-04,naknek-kvichak,4,0,4,,
2023-06-04,egegik,8,1,7,,
2023-06-04,ugashik,0,0,0,,
2023-06-04,nushagak,1,0,1,,
2023-06-04,togiak,0,0,0,,
2023-06-05,naknek-kvichak,4,0,4,,
2023-06-05,egegik,8,1,7,,
2023-06-05,ugashik,0,0,0,,
2023-06-05,nushagak,1,0,1,,
2023-06-05,togiak,0,0,0,,
2023-06-06,naknek-kvichak,4,0,4,,
2023-06-06,egegik,9,1,8,,
2023-06-06,ugashik,0,0,0,,
2023-06-06,nushagak,1,0,1,,
2023-06-06,togiak,0,0,0,,
2023-06-07,naknek-kvichak,5,0,5,,
2023-06-07,egegik,9,1,8,,
2023-06-07,ugashik,0,0,0,,
2023-06-07,nushagak,1,0,1,,
2023-06-07,togiak,0,0,0,,
2023-06-08,naknek-kvichak,8,0,8,,
2023-06-08,egegik,11,1,10,,
2023-06-08,ugashik,0,0,0,,
2023-06-08,nushagak,2,0,2,,
2023-06-08,togiak,0,0,0,,
2023-06-09,naknek-kvichak,9,0,9,,
2023-06-09,egegik,22,2,20,,
2023-06-09,ugashik,0,0,0,,
2023-06-09,nushagak,2,0,2,,
2023-06-09,togiak,1,0,1,,
2023-06-10,naknek-kvichak,9,0,9,,
2023-06-10,egegik,30,3,27,,
2023-06-10,ugashik,1,0,1,,
2023-06-10,nushagak,3,0,3,,
2023-06-10,togiak,2,0,2,,
2023-06-11,naknek-kvichak,9,0,9,,
2023-06-11,egegik,32,4,28,,
2023-06-11,ugashik,1,0,1,,
2023-06-11,nushagak,3,0,3,,
2023-06-11,togiak,2,0,2,,
2023-06-12,naknek-kvichak,10,0,10,,
2023-06-12,egegik,38,6,32,,
2023-06-12,ugashik,1,0,1,,
2023-06-12,nushagak,5,0,5,,
2023-06-12,togiak,2,0,2,,
2023-06-13,naknek-kvichak,12,0,12,,
2023-06-13,egegik,48,7,41,,
2023-06-13,ugashik,5,0,5,,
2023-06-13,nushagak,7,1,6,,
2023-06-13,togiak,4,0,4,,
2023-06-14,naknek-kvichak,13,0,13,,
2023-06-14,egegik,59,8,51,,
2023-06-14,ugashik,6,0,6,,
2023-06-14,nushagak,7,1,6,,
2023-06-14,togiak,6,0,6,,
2023-06-15,naknek-kvichak,17,0,17,,
2023-06-15,egegik,76,11,65,,
2023-06-15,ugashik,7,0,7,,
2023-06-15,nushagak,8,1,7,,
2023-06-15,togiak,8,0,8,,
2023-06-16,naknek-kvichak,22,2,20,,
2023-06-16,egegik,105,20,85,,
