date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2023-06-08,egegik,15,15,2,5,245,1,3,0,0,249,
2023-06-09,egegik,9,9,0,0,0,0,0,0,0,0,
2023-06-10,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-11,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-12,egegik,15,15,8,19,1832,1,0,0,0,1833,
2023-06-13,egegik,24,24,4,10,1266,0,0,0,0,1266,
2023-06-14,egegik,9,9,3,12,1004,0,4,0,0,1008,
2023-06-15,egegik,15,15,51,112,27869,3,94,0,0,27966,
2023-06-16,egegik,9,9,5,2,1058,0,4,0,0,1062,
2023-06-17,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-18,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-19,egegik,4.5,8,175,157,73519,8,421,0,0,73948,
2023-06-20,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-21,egegik,4.5,8,276,184,137001,19,241,0,0,137261,
2023-06-22,egegik,4.5,8,338,192,359561,12,333,0,0,359906,
2023-06-23,egegik,4.5,8,332,131,141718,15,280,0,0,142013,
2023-06-24,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-25,egegik,0,8,0,70,7406,7,8,0,0,7421,
2023-06-26,egegik,4.5,8,283,84,53999,20,172,0,0,54191,
2023-06-27,egegik,4,8,280,187,86803,14,312,0,0,87129,
2023-06-28,egegik,0,0,0,0,0,0,0,0,0,0,
2023-06-29,egegik,4.5,8,309,133,129217,14,508,0,0,129739,
2023-06-30,egegik,7.75,11,540,741,1094983,21,1800,0,0,1096804,
2023-07-01,egegik,9.75,14.25,593,489,1111254,21,1587,0,0,1112862,
2023-07-02,egegik,10.25,15.25,627,551,831595,17,1181,0,0,832793,
2023-07-03,egegik,10,15,493,375,684175,21,846,0,0,685042,
2023-07-04,egegik,11.25,19.5,374,267,431220,3,494,0,0,431717,
2023-07-05,egegik,12,20,288,189,476586,7,615,0,0,477208,
2023-07-06,egegik,11.5,16,478,663,877654,10,751,0,0,878415,
2023-07-07,egegik,11.5,16,469,383,418286,6,750,0,0,419042,
2023-07-08,egegik,10,8,339,139,114895,1,325,0,0,115221,
2023-07-09,egegik,11.5,16,275,227,171892,4,301,0,0,172197,
2023-07-10,egegik,5.5,8,282,253,232236,4,387,0,0,232627,
2023-07-11,egegik,5,7.25,293,256,275935,5,712,0,0,276652,
2023-07-12,egegik,6,10.75,221,199,183911,1,733,0,0,184645,
2023-07-13,egegik,9,11.5,534,679,906904,7,1672,0,0,908583,
2023-07-14,egegik,10,15.25,580,456,645630,2,1713,0,0,647345,
2023-07-15,egegik,8.5,13.25,371,475,443938,8,1260,0,0,445206,
2023-07-16,egegik,13,21,501,329,528601,8,1798,0,0,530407,
2023-07-17,egegik,24,24,336,296,256883,3,983,0,0,257869,
2023-07-18,egegik,24,24,258,171,242086,2,1198,0,0,243286,
2023-07-19,egegik,24,24,342,165,298662,5,2900,22,65,301654,
2023-07-20,egegik,24,24,182,158,173356,1,1269,16,7,174649,
2023-07-21,egegik,24,24,161,118,110153,2,1182,19,15,111371,
2023-07-22,egegik,24,24,131,73,120187,4,1343,17,9,121560,
2023-07-23,egegik,24,24,114,56,114846,1,1506,16,14,116383,
2023-07-24,egegik,24,24,132,41,88048,2,1719,0,0,89769,
2023-07-25,egegik,24,24,158,15,89833,1,2076,4,3,91917,
2023-07-26,egegik,24,24,94,10,63010,1,1046,0,0,64057,
2023-07-27,egegik,24,24,92,12,69797,1,1154,0,1,70953,
2023-07-28,egegik,24,24,72,4,34770,0,435,0,0,35205,
2023-07-29,egegik,24,24,55,7,39317,0,1245,0,0,40562,
2023-07-30,egegik,24,24,46,10,43061,1,568,0,0,43630,
2023-07-31,egegik,24,24,65,14,47475,0,571,20,13,48079,
2023-08-01,egegik,24,24,61,14,60394,0,569,0,57,61020,
2023-08-02,egegik,24,24,58,14,65607,1,539,2,18,66167,
2023-08-03,egegik,24,24,54,19,47460,1,337,0,16,47814,
2023-08-04,egegik,24,24,44,9,27595,0,364,0,0,27959,
2023-08-05,egegik,24,24,19,3,14177,0,136,0,0,14313,
2023-08-06,egegik,9,9,0,0,0,0,0,0,0,0,
2023-08-07,egegik,15,15,24,10,15936,0,10,0,57,16003,
2023-08-08,egegik,24,24,25,5,17328,0,273,0,301,17902,
2023-08-09,egegik,24,24,15,14,16405,0,121,0,413,16939,
2023-08-10,egegik,24,24,20,8,26668,0,546,0,646,27860,
2023-08-11,egegik,24,24,14,10,21985,0,215,0,302,22502,
2023-08-12,egegik,24,24,16,6,19734,0,381,0,546,20661,
2023-08-13,egegik,9,9,2,0,791,0,4,0,10,805,
2023-08-14,egegik,15,15,13,6,15889,0,339,0,631,16859,
2023-08-15,egegik,24,24,13,7,10206,0,264,0,602,11072,
2023-08-16,egegik,24,24,9,1,4049,0,158,0,425,4632,
2023-08-17,egegik,24,24,6,4,4631,0,93,0,574,5298,
2023-08-18,egegik,24,24,4,4,3467,0,99,0,145,3711,
2023-08-19,egegik,24,24,0,0,0,0,0,0,0,0,
