year,naknek_kvichak_drift,egegik_drift,ugashik_drift,nushagak_drift,togiak_drift
2010,81,84,90,78,71
2011,84,83,87,76,ND
2012,85,83,90,67,45
2013,84,85,90,78,ND
2014,83,89,82,73,ND
2015,84,81,91,69,ND
2016,83,82,91,67,ND
2017,70,87,92,76,ND
2018,71,80,78,82,ND
2019,77,81,66,78,ND
2020,80,86,74,69,100
2021,75,84,87,84,ND
2022,75,79,89,82,ND
2023,81,81,81,77,100
2024,80,77,88,75,100
