date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2022-06-14,ugashik,24,24,4,1,250,5,0,0,0,255,
2022-06-15,ugashik,24,24,1,1,0,0,0,0,0,0,
2022-06-16,ugashik,24,24,4,1,237,18,0,0,0,255,
2022-06-17,ugashik,9,9,0,0,0,0,0,0,0,0,
2022-06-18,ugashik,0,0,0,0,0,0,0,0,0,0,
2022-06-19,ugashik,0,0,0,0,0,0,0,0,0,0,
2022-06-20,ugashik,15,15,14,4,6410,21,84,0,0,6515,
2022-06-21,ugashik,24,24,15,6,11916,11,48,0,0,11975,
2022-06-22,ugashik,24,24,22,15,15936,19,47,0,0,16002,
2022-06-23,ugashik,24,24,25,21,10333,9,64,0,0,10406,
2022-06-24,ugashik,9,9,4,5,459,0,1,0,0,460,
2022-06-25,ugashik,12,12,27,31,73244,43,110,0,0,73397,
2022-06-26,ugashik,12,12,0,0,0,0,0,0,0,0,
2022-06-27,ugashik,12,12,48,42,121689,35,115,0,0,121839,
2022-06-28,ugashik,12,12,46,62,131586,62,184,0,0,131832,
2022-06-29,ugashik,12,12,57,98,159799,37,179,0,0,160015,
2022-06-30,ugashik,12,12,106,83,272288,11,253,0,0,272552,
2022-07-01,ugashik,12,12,60,66,176553,13,180,0,0,176746,
2022-07-02,ugashik,9,11,88,125,275978,24,865,0,0,276867,
2022-07-03,ugashik,9,10.75,97,128,332234,1,1092,0,0,333327,
2022-07-04,ugashik,9,11.25,115,122,342037,9,460,0,0,342506,
2022-07-05,ugashik,9,11.5,120,0,249321,2,192,0,0,249515,
2022-07-06,ugashik,8,11.5,122,150,319803,9,207,0,0,320019,
2022-07-07,ugashik,8.25,11.25,138,102,354679,6,195,0,0,354880,
2022-07-08,ugashik,10.75,15.75,86,10,205585,0,284,0,0,205869,
2022-07-09,ugashik,16,16,189,150,496751,5,491,0,0,497247,
2022-07-10,ugashik,16,16,175,157,445518,5,1329,0,0,446852,
2022-07-11,ugashik,16,16,120,1,291048,1,398,0,0,291447,
2022-07-12,ugashik,16,16,170,151,270835,3,656,0,0,271494,
2022-07-13,ugashik,15.5,15.5,267,149,396557,1,908,0,2,397468,
2022-07-14,ugashik,15,15,228,99,338176,1,997,0,0,339174,
2022-07-15,ugashik,15,15,194,129,174484,4,379,0,0,174867,
2022-07-16,ugashik,15,15,194,85,147992,3,375,0,0,148370,
2022-07-17,ugashik,24,24,98,16,76165,0,248,0,0,76413,
2022-07-18,ugashik,24,24,76,8,47796,0,138,0,0,47934,
2022-07-19,ugashik,24,24,85,51,58265,1,187,0,0,58453,
2022-07-20,ugashik,24,24,82,24,54633,1,206,0,0,54840,
2022-07-21,ugashik,24,24,62,9,61571,0,804,0,0,62375,
2022-07-22,ugashik,24,24,67,44,90166,0,680,362,9,91217,
2022-07-23,ugashik,24,24,26,27,27898,0,262,0,0,28160,
2022-07-24,ugashik,24,24,40,19,51330,0,547,0,0,51877,
2022-07-25,ugashik,24,24,4,0,4149,0,53,0,0,4202,
2022-07-26,ugashik,24,24,65,34,98887,0,1122,0,0,100009,
2022-07-27,ugashik,24,24,22,28,27768,0,260,0,0,28028,
2022-07-28,ugashik,24,24,53,14,36162,0,368,0,0,36530,
2022-07-29,ugashik,24,24,24,2,11266,0,236,0,0,11502,
2022-07-30,ugashik,24,24,13,0,15052,0,318,0,0,15370,
2022-07-31,ugashik,24,24,16,0,15322,0,285,0,0,15607,
2022-08-01,ugashik,24,24,7,0,4943,0,111,0,0,5054,
2022-08-02,ugashik,24,24,4,0,1098,0,26,0,0,1124,
2022-08-03,ugashik,24,24,9,0,7610,2,128,0,0,7740,
2022-08-04,ugashik,24,24,3,0,0,0,0,0,0,0,
2022-08-05,ugashik,24,24,7,0,6942,0,70,0,0,7012,
2022-08-06,ugashik,24,24,4,0,1233,0,12,0,0,1245,
