date,districtKey,driftOpenHours,setOpenHours,driftDeliveries,setDeliveries,sockeyeDaily,chinookDaily,chumDaily,pinkDaily,cohoDaily,totalDaily,notes
2022-06-20,togiak,24,24,2,9,169,19,25,0,0,213,
2022-06-21,togiak,24,24,3,12,154,25,58,0,0,237,
2022-06-22,togiak,24,24,3,18,438,37,73,0,0,548,
2022-06-23,togiak,24,24,3,9,535,38,278,2,0,853,
2022-06-24,togiak,24,24,2,9,1105,34,375,3,0,1517,
2022-06-25,togiak,0,0,0,0,0,0,0,0,0,0,
2022-06-26,togiak,0,0,0,0,0,0,0,0,0,0,
2022-06-27,togiak,24,24,11,17,1267,44,214,4,0,1529,
2022-06-28,togiak,24,24,26,49,3302,101,856,4,0,4263,
2022-06-29,togiak,24,24,14,47,3801,126,911,12,0,4850,
2022-06-30,togiak,24,24,10,12,1499,27,290,1,0,1817,
2022-07-01,togiak,24,24,11,14,3740,28,143,2,0,3913,
2022-07-02,togiak,24,24,19,19,5440,37,460,9,0,5946,
2022-07-03,togiak,0,0,0,0,0,0,0,0,0,0,
2022-07-04,togiak,24,24,31,83,8428,57,1731,17,0,10233,
2022-07-05,togiak,24,24,47,130,16864,149,2429,25,0,19467,
2022-07-06,togiak,24,24,37,117,14710,83,2380,38,0,17211,
2022-07-07,togiak,24,24,49,97,11677,62,2223,41,0,14003,
2022-07-08,togiak,24,24,39,93,12826,72,2297,43,0,15238,
2022-07-09,togiak,24,24,24,86,9717,39,995,23,0,10774,
2022-07-10,togiak,24,24,23,77,11904,57,1572,43,0,13576,
2022-07-11,togiak,24,24,33,96,11509,40,2581,98,0,14228,
2022-07-12,togiak,24,24,38,121,18763,37,3142,87,2,22031,
2022-07-13,togiak,24,24,50,127,23607,35,2442,125,0,26209,
2022-07-14,togiak,24,24,34,114,13004,28,2038,79,0,15149,
2022-07-15,togiak,24,24,40,135,19209,18,1936,128,0,21291,
2022-07-16,togiak,24,24,39,106,18823,22,2678,116,1,21640,
2022-07-17,togiak,0,0,0,0,0,0,0,0,0,0,
2022-07-18,togiak,24,24,36,51,9321,7,1055,39,2,10424,
2022-07-19,togiak,24,24,57,111,29356,19,2087,166,0,31628,
2022-07-20,togiak,24,24,15,37,12006,1,320,25,0,12352,
2022-07-21,togiak,24,24,47,107,26757,17,2166,457,1,29398,
2022-07-22,togiak,24,24,28,61,14739,6,1445,352,2,16544,
2022-07-23,togiak,24,24,5,1,2719,0,266,73,0,3058,
2022-07-24,togiak,0,0,0,0,0,0,0,0,0,0,
2022-07-25,togiak,24,24,11,21,8772,1,337,73,0,9183,
2022-07-26,togiak,24,24,41,89,19136,6,1442,1516,1,22101,
2022-07-27,togiak,24,24,113,183,53219,5,2706,8670,20,64620,
2022-07-28,togiak,24,24,57,110,26899,7,1924,3157,4,31991,
2022-07-29,togiak,24,24,67,101,28603,4,1501,2780,16,32904,
2022-07-30,togiak,24,24,35,95,16837,2,1074,3772,1,21686,
2022-07-31,togiak,24,24,15,37,6953,2,254,1429,0,8638,
2022-08-01,togiak,24,24,42,73,10700,2,702,4610,1,16015,
2022-08-02,togiak,24,24,39,120,19274,1,716,6105,5,26101,
2022-08-03,togiak,24,24,56,121,22693,5,843,8064,10,31615,
2022-08-04,togiak,24,24,23,78,15327,0,304,2922,15,18568,
2022-08-05,togiak,24,24,31,35,10513,0,272,4334,12,15131,
2022-08-06,togiak,24,24,5,25,3931,0,100,1151,13,5195,
2022-08-07,togiak,24,24,0,5,416,1,12,139,0,568,
2022-08-08,togiak,24,24,14,13,2930,0,148,1087,21,4186,
2022-08-09,togiak,24,24,18,46,7313,2,282,1988,68,9653,
2022-08-10,togiak,24,24,16,50,6862,2,253,2303,109,9529,
2022-08-11,togiak,24,24,14,45,5572,0,133,1480,147,7332,
2022-08-12,togiak,24,24,14,39,4450,1,133,1268,91,5943,
2022-08-13,togiak,24,24,5,28,2405,0,93,614,68,3180,
2022-08-14,togiak,24,24,1,8,664,0,17,74,25,780,
2022-08-15,togiak,24,24,4,12,638,0,17,238,41,934,
2022-08-16,togiak,24,24,5,28,1099,0,11,147,133,1390,
2022-08-17,togiak,24,24,4,28,1233,0,18,152,135,1538,
2022-08-18,togiak,24,24,3,19,880,1,11,116,147,1155,
