date,districtKey,driftPermits,dualPermits,driftBoats,flags,notes
2024-06-01,naknek_kvichak,0,0,0,,
2024-06-01,egegik,0,0,0,,
2024-06-01,ugashik,0,0,0,,
2024-06-01,nushagak,0,0,0,,
2024-06-01,togiak,0,0,0,,
2024-06-02,naknek_kvichak,0,0,0,,
2024-06-02,egegik,5,1,4,,
2024-06-02,ugashik,0,0,0,,
2024-06-02,nushagak,0,0,0,,
2024-06-02,togiak,1,0,1,,
2024-06-03,naknek_kvichak,0,0,0,,
2024-06-03,egegik,5,1,4,,
2024-06-03,ugashik,0,0,0,,
2024-06-03,nushagak,0,0,0,,
2024-06-03,togiak,1,0,1,,
2024-06-04,naknek_kvichak,0,0,0,,
2024-06-04,egegik,5,1,4,,
2024-06-04,ugashik,0,0,0,,
2024-06-04,nushagak,0,0,0,,
2024-06-04,togiak,1,0,1,,
2024-06-05,naknek_kvichak,0,0,0,,
2024-06-05,egegik,6,1,5,,
2024-06-05,ugashik,0,0,0,,
2024-06-05,nushagak,1,0,1,,
2024-06-05,togiak,1,0,1,,
2024-06-06,naknek_kvichak,2,0,2,,
2024-06-06,egegik,14,1,13,,
2024-06-06,ugashik,0,0,0,,
2024-06-06,nushagak,1,0,1,,
2024-06-06,togiak,1,0,1,,
2024-06-07,naknek_kvichak,2,0,2,,
2024-06-07,egegik,14,1,13,,
2024-06-07,ugashik,0,0,0,,
2024-06-07,nushagak,2,0,2,,
2024-06-07,togiak,1,0,1,,
2024-06-08,naknek_kvichak,2,0,2,,
2024-06-08,egegik,14,1,13,,
2024-06-08,ugashik,0,0,0,,
2024-06-08,nushagak,3,0,3,,
2024-06-08,togiak,1,0,1,,
2024-06-09,naknek_kvichak,2,0,2,,
2024-06-09,egegik,18,2,16,,
2024-06-09,ugashik,0,0,0,,
2024-06-09,nushagak,3,0,3,,
2024-06-09,togiak,1,0,1,,
2024-06-10,naknek_kvichak,2,0,2,,
2024-06-10,egegik,23,4,19,,
2024-06-10,ugashik,0,0,0,,
2024-06-10,nushagak,3,0,3,,
2024-06-10,togiak,1,0,1,,
2024-06-11,naknek_kvichak,2,0,2,,
2024-06-11,egegik,29,5,24,,
2024-06-11,ugashik,0,0,0,,
2024-06-11,nushagak,6,0,6,,
2024-06-11,togiak,3,0,3,,
2024-06-12,naknek_kvichak,4,0,4,,
2024-06-12,egegik,37,8,29,,
2024-06-12,ugashik,1,0,1,,
2024-06-12,nushagak,8,1,7,,
2024-06-12,togiak,4,0,4,,
2024-06-13,naknek_kvichak,6,0,6,,
2024-06-13,egegik,52,13,39,,
2024-06-13,ugashik,1,0,1,,
2024-06-13,nushagak,9,1,8,,
2024-06-13,togiak,5,0,5,,
2024-06-14,naknek_kvichak,10,0,10,,
2024-06-14,egegik,63,17,46,,
2024-06-14,ugashik,2,0,2,,
2024-06-14,nushagak,10,1,9,,
2024-06-14,togiak,6,0,6,,
2024-06-15,naknek_kvichak,11,0,11,,
2024-06-15,egegik,64,17,47,,
2024-06-15,ugashik,1,0,1,,
2024-06-15,nushagak,14,2,12,,
2024-06-15,togiak,7,0,7,,
2024-06-16,naknek_kvichak,14,0,14,,
2024-06-16,egegik,69,20,49,,
2024-06-16,ugashik,8,1,7,,
2024-06-16,nushagak,14,2,12,,
2024-06-16,togiak,7,0,7,,
2024-06-17,naknek_kvichak,17,1,16,,
2024-06-17,egegik,119,39,80,,
2024-06-17,ugashik,34,9,25,,
2024-06-17,nushagak,16,2,14,,
2024-06-17,togiak,7,0,7,,
2024-06-18,naknek_kvichak,19,1,18,,
2024-06-18,egegik,154,50,104,,
2024-06-18,ugashik,70,20,50,,
2024-06-18,nushagak,24,4,20,,
2024-06-18,togiak,9,0,9,,
2024-06-19,naknek_kvichak,32,3,29,,
2024-06-19,egegik,188,58,130,,
2024-06-19,ugashik,87,26,61,,
2024-06-19,nushagak,30,6,24,,
2024-06-19,togiak,10,0,10,,
2024-06-20,naknek_kvichak,44,7,37,,
2024-06-20,egegik,221,69,152,,
2024-06-20,ugashik,94,30,64,,
2024-06-20,nushagak,42,8,34,,
2024-06-20,togiak,11,0,11,,
2024-06-21,naknek_kvichak,51,8,43,,
2024-06-21,egegik,245,73,172,,
2024-06-21,ugashik,107,35,72,,
2024-06-21,nushagak,49,8,41,,
2024-06-21,togiak,12,0,12,,
2024-06-22,naknek_kvichak,58,9,49,,
2024-06-22,egegik,275,81,194,,
2024-06-22,ugashik,88,31,57,,
2024-06-22,nushagak,61,11,50,,
2024-06-22,togiak,12,0,12,,
2024-06-23,naknek_kvichak,63,9,54,,
2024-06-23,egegik,252,74,178,,
2024-06-23,ugashik,94,31,63,,
2024-06-23,nushagak,84,19,65,,
2024-06-23,togiak,13,0,13,,
2024-06-24,naknek_kvichak,81,10,71,,
2024-06-24,egegik,256,69,187,,
2024-06-24,ugashik,115,37,78,,
2024-06-24,nushagak,131,27,104,,
2024-06-24,togiak,13,0,13,,
2024-06-25,naknek_kvichak,92,12,80,,
2024-06-25,egegik,236,61,175,,
2024-06-25,ugashik,123,40,83,,
2024-06-25,nushagak,261,56,205,,
2024-06-25,togiak,14,0,14,,
2024-06-26,naknek_kvichak,228,48,180,,
2024-06-26,egegik,238,61,177,,
2024-06-26,ugashik,152,48,104,,
2024-06-26,nushagak,407,103,304,,
2024-06-26,togiak,14,0,14,,
2024-06-27,naknek_kvichak,249,52,197,,
2024-06-27,egegik,234,60,174,,
2024-06-27,ugashik,167,54,113,,
2024-06-27,nushagak,689,190,499,,
2024-06-27,togiak,14,0,14,,
2024-06-28,naknek_kvichak,326,76,250,,
2024-06-28,egegik,239,63,176,,
2024-06-28,ugashik,179,58,121,,
2024-06-28,nushagak,748,210,538,,
2024-06-28,togiak,14,0,14,,
2024-06-29,naknek_kvichak,343,80,263,,
2024-06-29,egegik,241,63,178,,
2024-06-29,ugashik,187,61,126,,
2024-06-29,nushagak,756,214,542,,
2024-06-29,togiak,15,0,15,,
2024-06-30,naknek_kvichak,355,83,272,,
2024-06-30,egegik,245,65,180,,
2024-06-30,ugashik,198,63,135,,
2024-06-30,nushagak,759,214,545,,
2024-06-30,togiak,16,0,16,,
2024-07-01,naknek_kvichak,382,91,291,,
2024-07-01,egegik,251,67,184,,
2024-07-01,ugashik,204,64,140,,
2024-07-01,nushagak,758,217,541,,
2024-07-01,togiak,16,0,16,,
2024-07-02,naknek_kvichak,389,92,297,,
2024-07-02,egegik,237,65,172,,
2024-07-02,ugashik,208,66,142,,
2024-07-02,nushagak,736,210,526,,
2024-07-02,togiak,17,0,17,,
2024-07-03,naknek_kvichak,398,93,305,,
2024-07-03,egegik,239,66,173,,
2024-07-03,ugashik,210,67,143,,
2024-07-03,nushagak,703,202,501,,
2024-07-03,togiak,17,0,17,,
2024-07-04,naknek_kvichak,428,100,328,,
2024-07-04,egegik,239,66,173,,
2024-07-04,ugashik,221,71,150,,
2024-07-04,nushagak,683,193,490,,
2024-07-04,togiak,18,0,18,,
2024-07-05,naknek_kvichak,462,110,352,,
2024-07-05,egegik,235,65,170,,
2024-07-05,ugashik,225,71,154,,
2024-07-05,nushagak,677,192,485,,
2024-07-05,togiak,19,0,19,,
2024-07-06,naknek_kvichak,486,122,364,,
2024-07-06,egegik,235,65,170,,
2024-07-06,ugashik,226,71,155,,
2024-07-06,nushagak,627,172,455,,
2024-07-06,togiak,19,0,19,,
2024-07-07,naknek_kvichak,500,125,375,,
2024-07-07,egegik,220,60,160,,
2024-07-07,ugashik,228,72,156,,
2024-07-07,nushagak,497,136,361,,
2024-07-07,togiak,19,0,19,,
2024-07-08,naknek_kvichak,547,142,405,,
2024-07-08,egegik,218,60,158,,
2024-07-08,ugashik,231,74,157,,
2024-07-08,nushagak,448,118,330,,
2024-07-08,togiak,19,0,19,,
2024-07-09,naknek_kvichak,690,182,508,,
2024-07-09,egegik,198,54,144,,
2024-07-09,ugashik,234,74,160,,
